?n_s	?subject
1	<http://linkedgeodata.org/triplify/node1224503575>
1	<http://linkedgeodata.org/triplify/node3451842475>
1	<http://linkedgeodata.org/triplify/node354912057>
1	<http://linkedgeodata.org/triplify/node3752557268>
1	<http://linkedgeodata.org/triplify/way117069501>
1	<http://linkedgeodata.org/triplify/way117680775>
1	<http://linkedgeodata.org/triplify/way129430289>
1	<http://linkedgeodata.org/triplify/way142099014>
1	<http://linkedgeodata.org/triplify/way142099023>
1	<http://linkedgeodata.org/triplify/way142225837>
1	<http://linkedgeodata.org/triplify/way161948165>
1	<http://linkedgeodata.org/triplify/way163726429>
1	<http://linkedgeodata.org/triplify/way164379739>
1	<http://linkedgeodata.org/triplify/way164729543>
1	<http://linkedgeodata.org/triplify/way171694913>
1	<http://linkedgeodata.org/triplify/way180310077>
1	<http://linkedgeodata.org/triplify/way183856717>
1	<http://linkedgeodata.org/triplify/way203033891>
1	<http://linkedgeodata.org/triplify/way204696861>
1	<http://linkedgeodata.org/triplify/way207519728>
1	<http://linkedgeodata.org/triplify/way218547887>
1	<http://linkedgeodata.org/triplify/way226452193>
1	<http://linkedgeodata.org/triplify/way233585917>
1	<http://linkedgeodata.org/triplify/way244467467>
1	<http://linkedgeodata.org/triplify/way264734981>
1	<http://linkedgeodata.org/triplify/way266309470>
1	<http://linkedgeodata.org/triplify/way269387523>
1	<http://linkedgeodata.org/triplify/way278883837>
1	<http://linkedgeodata.org/triplify/way288915377>
1	<http://linkedgeodata.org/triplify/way289021681>
1	<http://linkedgeodata.org/triplify/way312069529>
1	<http://linkedgeodata.org/triplify/way333361509>
1	<http://linkedgeodata.org/triplify/way338884666>
1	<http://linkedgeodata.org/triplify/way343315814>
1	<http://linkedgeodata.org/triplify/way355384382>
1	<http://linkedgeodata.org/triplify/way358192144>
1	<http://linkedgeodata.org/triplify/way358193235>
1	<http://linkedgeodata.org/triplify/way361140275>
1	<http://linkedgeodata.org/triplify/way367260973>
1	<http://linkedgeodata.org/triplify/way372573195>
1	<http://linkedgeodata.org/triplify/way374093581>
1	<http://linkedgeodata.org/triplify/way45469085>
1	<http://linkedgeodata.org/triplify/way50977311>
1	<http://linkedgeodata.org/triplify/way54563853>
1	<http://linkedgeodata.org/triplify/way54675530>
1	<http://linkedgeodata.org/triplify/way54675531>
1	<http://linkedgeodata.org/triplify/way54675554>
1	<http://linkedgeodata.org/triplify/way62142836>
1	<http://linkedgeodata.org/triplify/way74095850>
1	<http://linkedgeodata.org/triplify/way77507221>
