"n_sov"	"ratio_n_sov_tot"	"ratio_n_sov_sp"
36674	0.070654781055718	0.764392013005961
"n_sovGrp"	"ratio_n_sovGrp_stot"	"ratio_n_sovGrp_sp"	"ratio_n_sovGrp_sov"	"o"
33	0.000063576587633	0.000687815248656	0.000899820035993	"09:00-22:00"
33	0.000063576587633	0.000687815248656	0.000899820035993	"Mo-Su 09:00-21:00"
33	0.000063576587633	0.000687815248656	0.000899820035993	"Tu-Su 12:00-22:00"
32	0.000061650024371	0.000666972362333	0.000872552762175	"Mo-Sa 10:00-22:00"
31	0.000059723461109	0.00064612947601	0.000845285488357	"Mo-Su 12:00-00:00"
31	0.000059723461109	0.00064612947601	0.000845285488357	"Mo-Su 12:00-01:00"
31	0.000059723461109	0.00064612947601	0.000845285488357	"Mo-Su 07:00-22:00"
31	0.000059723461109	0.00064612947601	0.000845285488357	"Mo-Fr 08:00-15:00"
31	0.000059723461109	0.00064612947601	0.000845285488357	"09:00-23:00"
30	0.000057796897848	0.000625286589687	0.000818018214539	"12:00-21:00"
30	0.000057796897848	0.000625286589687	0.000818018214539	"Mo-Sa 12:00-22:00"
30	0.000057796897848	0.000625286589687	0.000818018214539	"Tu-Su 11:30-22:00"
29	0.000055870334586	0.000604443703364	0.000790750940721	"Mo-Su 17:00-24:00"
29	0.000055870334586	0.000604443703364	0.000790750940721	"08:00-23:00"
29	0.000055870334586	0.000604443703364	0.000790750940721	"09:00-24:00"
29	0.000055870334586	0.000604443703364	0.000790750940721	"Tu-Su 17:00-23:00"
29	0.000055870334586	0.000604443703364	0.000790750940721	"07:00-22:00"
28	0.000053943771325	0.000583600817041	0.000763483666903	"11:00-01:00"
28	0.000053943771325	0.000583600817041	0.000763483666903	"Tu-Su 10:00-22:00"
27	0.000052017208063	0.000562757930718	0.000736216393085	"Mo-Fr 08:00-16:00"
27	0.000052017208063	0.000562757930718	0.000736216393085	"Mo-Su 09:00-01:00"
27	0.000052017208063	0.000562757930718	0.000736216393085	"Mo-Su 11:30-15:00,17:30-23:30"
27	0.000052017208063	0.000562757930718	0.000736216393085	"Su-Th 11:00-21:00; Fr-Sa 11:00-22:00"
27	0.000052017208063	0.000562757930718	0.000736216393085	"17:00-22:00"
27	0.000052017208063	0.000562757930718	0.000736216393085	"Mo-Sa 11:00-20:00"
27	0.000052017208063	0.000562757930718	0.000736216393085	"Mo-Su 18:00-24:00"
26	0.000050090644801	0.000541915044395	0.000708949119267	"07:00-23:00"
26	0.000050090644801	0.000541915044395	0.000708949119267	"Mo-Fr 11:00-22:00; Sa-Su 12:00-22:00"
26	0.000050090644801	0.000541915044395	0.000708949119267	"11:00-22:30"
26	0.000050090644801	0.000541915044395	0.000708949119267	"Mo-Su 11:00-22:30"
26	0.000050090644801	0.000541915044395	0.000708949119267	"10:00-01:00"
25	0.00004816408154	0.000521072158072	0.000681681845449	"Tu-Su 11:00-24:00"
25	0.00004816408154	0.000521072158072	0.000681681845449	"Mo-Su 10:30-22:00"
25	0.00004816408154	0.000521072158072	0.000681681845449	"Mo-Su 11:00-00:00"
24	0.000046237518278	0.00050022927175	0.000654414571631	"11:30-23:30"
24	0.000046237518278	0.00050022927175	0.000654414571631	"Mo-Su 11:30-14:30,17:30-23:30"
24	0.000046237518278	0.00050022927175	0.000654414571631	"08:00-24:00"
24	0.000046237518278	0.00050022927175	0.000654414571631	"Mo-Th 11:30-14:30, 18:30-22:30; Fr-Sa 11:30-14:30, 18:30-23:00; Su 11:30-14:30, 18:30-22:30"
23	0.000044310955017	0.000479386385427	0.000627147297813	"Mo-Su 12:00-06:00"
23	0.000044310955017	0.000479386385427	0.000627147297813	"11:00-00:00"
23	0.000044310955017	0.000479386385427	0.000627147297813	"Tu-Su 12:00-23:00"
23	0.000044310955017	0.000479386385427	0.000627147297813	"Mo-Su 17:00-22:00"
22	0.000042384391755	0.000458543499104	0.000599880023995	"11:00-21:30"
22	0.000042384391755	0.000458543499104	0.000599880023995	"Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 12:00-22:00"
22	0.000042384391755	0.000458543499104	0.000599880023995	"Mo-Fr 07:00-15:00"
22	0.000042384391755	0.000458543499104	0.000599880023995	"Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 11:00-22:00"
22	0.000042384391755	0.000458543499104	0.000599880023995	"Mo-Su 10:00-20:00"
22	0.000042384391755	0.000458543499104	0.000599880023995	"Mo-Su 08:00-20:00"
22	0.000042384391755	0.000458543499104	0.000599880023995	"Mo-Sa 18:00-24:00"
22	0.000042384391755	0.000458543499104	0.000599880023995	"Mo-Fr 11:00-16:00"
21	0.000040457828493	0.000437700612781	0.000572612750177	"Mo-Su 10:00-02:00"
21	0.000040457828493	0.000437700612781	0.000572612750177	"11:00-26:00"
21	0.000040457828493	0.000437700612781	0.000572612750177	"Mo-Su 11:30-15:00,17:30-23:00"
21	0.000040457828493	0.000437700612781	0.000572612750177	"Mo-Su 07:00-24:00"
21	0.000040457828493	0.000437700612781	0.000572612750177	"Mo-Sa 17:00-24:00"
21	0.000040457828493	0.000437700612781	0.000572612750177	"Mo-Su 11:00-21:30"
21	0.000040457828493	0.000437700612781	0.000572612750177	"18:00-23:00"
21	0.000040457828493	0.000437700612781	0.000572612750177	"11:00 - 23:00"
21	0.000040457828493	0.000437700612781	0.000572612750177	"11:30-21:00"
20	0.000038531265232	0.000416857726458	0.000545345476359	"Mo-Su 12:00-21:00"
20	0.000038531265232	0.000416857726458	0.000545345476359	"Mo-Su 10:30-23:00"
20	0.000038531265232	0.000416857726458	0.000545345476359	"Mo-Su 06:00-24:00"
20	0.000038531265232	0.000416857726458	0.000545345476359	"Mo-Sa 12:00-23:00; Su 12:00-22:00"
20	0.000038531265232	0.000416857726458	0.000545345476359	"08:30-12:30,15:30-20:00"
20	0.000038531265232	0.000416857726458	0.000545345476359	"12:00-01:00"
19	0.00003660470197	0.000396014840135	0.000518078202541	"Mo-Su 11:30-14:30, 17:30-23:00"
19	0.00003660470197	0.000396014840135	0.000518078202541	"Mo-Su 09:00-02:00"
19	0.00003660470197	0.000396014840135	0.000518078202541	"Tu-Sa 18:00-24:00"
19	0.00003660470197	0.000396014840135	0.000518078202541	"Mo-Sa 12:00-23:00; Su 12:00-22:30"
19	0.00003660470197	0.000396014840135	0.000518078202541	"16:00-22:00"
19	0.00003660470197	0.000396014840135	0.000518078202541	"Tu-Su 17:00-22:00"
19	0.00003660470197	0.000396014840135	0.000518078202541	"Su-Th 11:00-23:00; Fr-Sa 11:00-24:00"
