?n_s	?subject
1	<http://linkedgeodata.org/triplify/node1001134802>
1	<http://linkedgeodata.org/triplify/node1001927533>
1	<http://linkedgeodata.org/triplify/node1003605925>
1	<http://linkedgeodata.org/triplify/node1003650544>
1	<http://linkedgeodata.org/triplify/node1010701090>
1	<http://linkedgeodata.org/triplify/node1013270546>
1	<http://linkedgeodata.org/triplify/node1013800649>
1	<http://linkedgeodata.org/triplify/node101509824>
1	<http://linkedgeodata.org/triplify/node1016007965>
1	<http://linkedgeodata.org/triplify/node1016109713>
1	<http://linkedgeodata.org/triplify/node1021102267>
1	<http://linkedgeodata.org/triplify/node1022099532>
1	<http://linkedgeodata.org/triplify/node1022976227>
1	<http://linkedgeodata.org/triplify/node1024857370>
1	<http://linkedgeodata.org/triplify/node1025484606>
1	<http://linkedgeodata.org/triplify/node1027969296>
1	<http://linkedgeodata.org/triplify/node1033653997>
1	<http://linkedgeodata.org/triplify/node1036944327>
1	<http://linkedgeodata.org/triplify/node1037096578>
1	<http://linkedgeodata.org/triplify/node1045573107>
1	<http://linkedgeodata.org/triplify/node1049379947>
1	<http://linkedgeodata.org/triplify/node1055469670>
1	<http://linkedgeodata.org/triplify/node1055992241>
1	<http://linkedgeodata.org/triplify/node1069372852>
1	<http://linkedgeodata.org/triplify/node1069988722>
1	<http://linkedgeodata.org/triplify/node1080144482>
1	<http://linkedgeodata.org/triplify/node1082265550>
1	<http://linkedgeodata.org/triplify/node1082912888>
1	<http://linkedgeodata.org/triplify/node1086078540>
1	<http://linkedgeodata.org/triplify/node1100592374>
1	<http://linkedgeodata.org/triplify/node1101805613>
1	<http://linkedgeodata.org/triplify/node1102086974>
1	<http://linkedgeodata.org/triplify/node1102481393>
1	<http://linkedgeodata.org/triplify/node1102925559>
1	<http://linkedgeodata.org/triplify/node1107526893>
1	<http://linkedgeodata.org/triplify/node1108178792>
1	<http://linkedgeodata.org/triplify/node1110748340>
1	<http://linkedgeodata.org/triplify/node1111060454>
1	<http://linkedgeodata.org/triplify/node1111095803>
1	<http://linkedgeodata.org/triplify/node1112278642>
1	<http://linkedgeodata.org/triplify/node1112481343>
1	<http://linkedgeodata.org/triplify/node1119183715>
1	<http://linkedgeodata.org/triplify/node1125978161>
1	<http://linkedgeodata.org/triplify/node1127960232>
1	<http://linkedgeodata.org/triplify/node1132080564>
1	<http://linkedgeodata.org/triplify/node1132080565>
1	<http://linkedgeodata.org/triplify/node1132080567>
1	<http://linkedgeodata.org/triplify/node1132080568>
1	<http://linkedgeodata.org/triplify/node1132080569>
1	<http://linkedgeodata.org/triplify/node1133066021>
1	<http://linkedgeodata.org/triplify/node1133066037>
1	<http://linkedgeodata.org/triplify/node1139534315>
1	<http://linkedgeodata.org/triplify/node1139832283>
1	<http://linkedgeodata.org/triplify/node1140055003>
1	<http://linkedgeodata.org/triplify/node1140958910>
1	<http://linkedgeodata.org/triplify/node1150861094>
1	<http://linkedgeodata.org/triplify/node1153465106>
1	<http://linkedgeodata.org/triplify/node1155728498>
1	<http://linkedgeodata.org/triplify/node1156590717>
1	<http://linkedgeodata.org/triplify/node1157355904>
1	<http://linkedgeodata.org/triplify/node1159860638>
1	<http://linkedgeodata.org/triplify/node117128941>
1	<http://linkedgeodata.org/triplify/node1173073800>
1	<http://linkedgeodata.org/triplify/node1173104887>
1	<http://linkedgeodata.org/triplify/node1181032502>
1	<http://linkedgeodata.org/triplify/node1183343038>
