?n_s	?subject
1	<http://linkedgeodata.org/triplify/node1183476264>
1	<http://linkedgeodata.org/triplify/node1439691743>
1	<http://linkedgeodata.org/triplify/node1439691751>
1	<http://linkedgeodata.org/triplify/node1439691774>
1	<http://linkedgeodata.org/triplify/node1439691780>
1	<http://linkedgeodata.org/triplify/node1439691781>
1	<http://linkedgeodata.org/triplify/node2002800643>
1	<http://linkedgeodata.org/triplify/node2907827077>
1	<http://linkedgeodata.org/triplify/node2907828262>
1	<http://linkedgeodata.org/triplify/node356500905>
1	<http://linkedgeodata.org/triplify/node356511669>
1	<http://linkedgeodata.org/triplify/node845377998>
1	<http://linkedgeodata.org/triplify/way10076672>
1	<http://linkedgeodata.org/triplify/way10423750>
1	<http://linkedgeodata.org/triplify/way10423751>
1	<http://linkedgeodata.org/triplify/way10423752>
1	<http://linkedgeodata.org/triplify/way10423753>
1	<http://linkedgeodata.org/triplify/way10425770>
1	<http://linkedgeodata.org/triplify/way107159029>
1	<http://linkedgeodata.org/triplify/way108855133>
1	<http://linkedgeodata.org/triplify/way110130085>
1	<http://linkedgeodata.org/triplify/way112168111>
1	<http://linkedgeodata.org/triplify/way112178096>
1	<http://linkedgeodata.org/triplify/way114308094>
1	<http://linkedgeodata.org/triplify/way114823142>
1	<http://linkedgeodata.org/triplify/way120233985>
1	<http://linkedgeodata.org/triplify/way124507694>
1	<http://linkedgeodata.org/triplify/way128643605>
1	<http://linkedgeodata.org/triplify/way135661805>
1	<http://linkedgeodata.org/triplify/way140675479>
1	<http://linkedgeodata.org/triplify/way144555150>
1	<http://linkedgeodata.org/triplify/way145110133>
1	<http://linkedgeodata.org/triplify/way145358947>
1	<http://linkedgeodata.org/triplify/way147156882>
1	<http://linkedgeodata.org/triplify/way152936822>
1	<http://linkedgeodata.org/triplify/way15468515>
1	<http://linkedgeodata.org/triplify/way165626407>
1	<http://linkedgeodata.org/triplify/way166829273>
1	<http://linkedgeodata.org/triplify/way168821949>
1	<http://linkedgeodata.org/triplify/way170326677>
1	<http://linkedgeodata.org/triplify/way171399175>
1	<http://linkedgeodata.org/triplify/way172434698>
1	<http://linkedgeodata.org/triplify/way182786517>
1	<http://linkedgeodata.org/triplify/way184326534>
1	<http://linkedgeodata.org/triplify/way187122519>
1	<http://linkedgeodata.org/triplify/way188281206>
1	<http://linkedgeodata.org/triplify/way192478143>
1	<http://linkedgeodata.org/triplify/way194653523>
1	<http://linkedgeodata.org/triplify/way195586838>
1	<http://linkedgeodata.org/triplify/way196052381>
1	<http://linkedgeodata.org/triplify/way196639218>
1	<http://linkedgeodata.org/triplify/way199821356>
1	<http://linkedgeodata.org/triplify/way207213032>
1	<http://linkedgeodata.org/triplify/way212197074>
1	<http://linkedgeodata.org/triplify/way214458848>
1	<http://linkedgeodata.org/triplify/way218328944>
1	<http://linkedgeodata.org/triplify/way221889737>
1	<http://linkedgeodata.org/triplify/way227912197>
1	<http://linkedgeodata.org/triplify/way229102702>
1	<http://linkedgeodata.org/triplify/way229625088>
1	<http://linkedgeodata.org/triplify/way233734920>
1	<http://linkedgeodata.org/triplify/way238863950>
1	<http://linkedgeodata.org/triplify/way238890776>
1	<http://linkedgeodata.org/triplify/way241687370>
1	<http://linkedgeodata.org/triplify/way24290681>
1	<http://linkedgeodata.org/triplify/way246220579>
1	<http://linkedgeodata.org/triplify/way246644929>
1	<http://linkedgeodata.org/triplify/way254498227>
1	<http://linkedgeodata.org/triplify/way25616526>
1	<http://linkedgeodata.org/triplify/way263598061>
1	<http://linkedgeodata.org/triplify/way26824641>
1	<http://linkedgeodata.org/triplify/way269325725>
1	<http://linkedgeodata.org/triplify/way271904977>
1	<http://linkedgeodata.org/triplify/way27223335>
1	<http://linkedgeodata.org/triplify/way27286572>
1	<http://linkedgeodata.org/triplify/way27800358>
1	<http://linkedgeodata.org/triplify/way281832291>
1	<http://linkedgeodata.org/triplify/way28493242>
1	<http://linkedgeodata.org/triplify/way286341726>
1	<http://linkedgeodata.org/triplify/way287084798>
1	<http://linkedgeodata.org/triplify/way294812471>
1	<http://linkedgeodata.org/triplify/way29992472>
1	<http://linkedgeodata.org/triplify/way30289425>
1	<http://linkedgeodata.org/triplify/way32607499>
1	<http://linkedgeodata.org/triplify/way32607500>
1	<http://linkedgeodata.org/triplify/way32703907>
1	<http://linkedgeodata.org/triplify/way32936355>
1	<http://linkedgeodata.org/triplify/way35066816>
1	<http://linkedgeodata.org/triplify/way35547954>
1	<http://linkedgeodata.org/triplify/way35557004>
1	<http://linkedgeodata.org/triplify/way36964997>
1	<http://linkedgeodata.org/triplify/way37427566>
1	<http://linkedgeodata.org/triplify/way38813775>
1	<http://linkedgeodata.org/triplify/way38915378>
1	<http://linkedgeodata.org/triplify/way39007407>
1	<http://linkedgeodata.org/triplify/way39128347>
1	<http://linkedgeodata.org/triplify/way39134982>
1	<http://linkedgeodata.org/triplify/way39442508>
1	<http://linkedgeodata.org/triplify/way3959277>
1	<http://linkedgeodata.org/triplify/way39633534>
1	<http://linkedgeodata.org/triplify/way39991316>
1	<http://linkedgeodata.org/triplify/way40029870>
1	<http://linkedgeodata.org/triplify/way41067469>
1	<http://linkedgeodata.org/triplify/way41426011>
1	<http://linkedgeodata.org/triplify/way4235095>
1	<http://linkedgeodata.org/triplify/way4235157>
1	<http://linkedgeodata.org/triplify/way42923099>
1	<http://linkedgeodata.org/triplify/way4348212>
1	<http://linkedgeodata.org/triplify/way4379943>
1	<http://linkedgeodata.org/triplify/way4606703>
1	<http://linkedgeodata.org/triplify/way4606704>
1	<http://linkedgeodata.org/triplify/way4606705>
1	<http://linkedgeodata.org/triplify/way4606706>
1	<http://linkedgeodata.org/triplify/way4611991>
