School	0.8510313216195569
Hedge	0.9764309764309764
Bench	0.945750452079566
Restaurant	0.8602111394248271
Platform	0.8791878172588833
BusStop	0.8839779005524862
FireHydrant	0.8641618497109826
LevelCrossing	0.9197860962566845
StopPosition	0.9246954595791805
PowerLine	0.9302325581395349
TourismInformation	0.7834920634920635
SurveyPoint	0.7963576158940397
FuelStation	0.8393960192175703
PowerGenerator	0.926530612244898
Convenience	0.8747081712062257
Bollard	0.872093023255814
Pier	0.9686847599164927
Cafe	0.8917748917748918
FastFood	0.8930402930402931
Bank	0.8776371308016877
