http://linkedgeodata.org/ontology/Restaurant
"n_sp"	"ratio_n_sp_stot"	"p"
16644	0.086783775751224	"http://linkedgeodata.org/ontology/source"
14035	0.073180142553979	"http://linkedgeodata.org/ontology/wheelchair"
12985	0.067705318921512	"http://linkedgeodata.org/ontology/internet_access"
12648	0.065948161241377	"http://linkedgeodata.org/ontology/addr%3Acountry"
8673	0.04522204320418	"http://linkedgeodata.org/ontology/smoking"
6461	0.033688414751782	"http://linkedgeodata.org/ontology/operator"
4007	0.020892969805044	"http://linkedgeodata.org/ontology/wifi"
2804	0.01462038615756	"http://linkedgeodata.org/ontology/addr%3Ahousename"
2589	0.013499350842341	"http://linkedgeodata.org/ontology/outdoor_seating"
2338	0.012190607288294	"http://linkedgeodata.org/ontology/contact%3Aphone"
2254	0.011752621397696	"http://linkedgeodata.org/ontology/building%3Alevels"
2113	0.011017430795622	"http://linkedgeodata.org/ontology/internet_access%3Afee"
2037	0.010621157846987	"http://linkedgeodata.org/ontology/takeaway"
1909	0.0099537507756	"http://linkedgeodata.org/ontology/brand"
1904	0.009927680186874	"http://linkedgeodata.org/ontology/addr%3Astate"
1816	0.009468837825296	"http://linkedgeodata.org/ontology/note"
1711	0.008921355462049	"http://linkedgeodata.org/ontology/level"
1642	0.00856158133763	"http://linkedgeodata.org/ontology/branch"
1555	0.008107953093797	"http://linkedgeodata.org/ontology/contact%3Awebsite"
1493	0.007784677793594	"http://linkedgeodata.org/ontology/drive_through"
1467	0.007649110732219	"http://linkedgeodata.org/ontology/addr%3Afull"
1406	0.007331049549761	"http://linkedgeodata.org/ontology/addr%3Asuburb"
1381	0.007200696606131	"http://linkedgeodata.org/ontology/wikipedia"
1166	0.006079661290911	"http://linkedgeodata.org/ontology/source%3Adate"
1112	0.00579809893267	"http://linkedgeodata.org/ontology/createdBy"
1009	0.005261044804914	"http://linkedgeodata.org/ontology/wheelchair%3Adescription"
699	0.0036446683039	"http://linkedgeodata.org/ontology/payment:coins"
690	0.003597741244193	"http://linkedgeodata.org/ontology/addr%3Aprovince"
680	0.003545600066741	"http://linkedgeodata.org/ontology/payment:notes"
670	0.003493458889289	"http://linkedgeodata.org/ontology/contact%3Aemail"
631	0.003290108297226	"http://linkedgeodata.org/ontology/toilets%3Awheelchair"
629	0.003279680061735	"http://linkedgeodata.org/ontology/payment%3Aamex"
626	0.0032640377085	"http://linkedgeodata.org/ontology/fixme"
594	0.003097185940653	"http://linkedgeodata.org/ontology/area"
556	0.002899049466335	"http://linkedgeodata.org/ontology/source%3Aaddr"
485	0.002528847106425	"http://linkedgeodata.org/ontology/url"
442	0.002304640043381	"http://linkedgeodata.org/ontology/entrance"
440	0.002294211807891	"http://linkedgeodata.org/ontology/layer"
382	0.001991792978669	"http://linkedgeodata.org/ontology/historicalName"
372	0.001939651801217	"http://linkedgeodata.org/ontology/fhrs%3Aid"
354	0.001845797681803	"http://linkedgeodata.org/ontology/atm"
353	0.001840583564058	"http://linkedgeodata.org/ontology/isIn"
351	0.001830155328568	"http://linkedgeodata.org/ontology/internationalName"
340	0.00177280003337	"http://linkedgeodata.org/ontology/start_date"
332	0.001731087091409	"http://linkedgeodata.org/ontology/contact%3Afacebook"
331	0.001725872973663	"http://linkedgeodata.org/ontology/ref%3Avatin"
309	0.001611162383269	"http://linkedgeodata.org/ontology/diet%3Avegan"
287	0.001496451792874	"http://linkedgeodata.org/ontology/addr%3Aplace"
284	0.001480809439639	"http://linkedgeodata.org/ontology/tobacco"
273	0.001423454144441	"http://linkedgeodata.org/ontology/snowmobile"
262	0.001366098849244	"http://linkedgeodata.org/ontology/cost%3Acoffee"
260	0.001355670613754	"http://linkedgeodata.org/ontology/diet%3Avegetarian"
250	0.001303529436302	"http://linkedgeodata.org/ontology/designation"
250	0.001303529436302	"http://linkedgeodata.org/ontology/building%3Amaterial"
248	0.001293101200811	"http://linkedgeodata.org/ontology/addr%3Aunit"
241	0.001256602376595	"http://linkedgeodata.org/ontology/hiking"
241	0.001256602376595	"http://linkedgeodata.org/ontology/ele"
232	0.001209675316888	"http://linkedgeodata.org/ontology/roof%3Ashape"
229	0.001194032963652	"http://linkedgeodata.org/ontology/contact%3Afax"
228	0.001188818845907	"http://linkedgeodata.org/ontology/ref%3Abag"
224	0.001167962374926	"http://linkedgeodata.org/ontology/addr%3Adistrict"
218	0.001136677668455	"http://linkedgeodata.org/ontology/brewery"
208	0.001084536491003	"http://linkedgeodata.org/ontology/payment%3Abitcoin"
208	0.001084536491003	"http://linkedgeodata.org/ontology/postalCode"
195	0.001016752960315	"http://linkedgeodata.org/ontology/height"
192	0.00100111060708	"http://linkedgeodata.org/ontology/source%3Apostcode"
184	0.000959397665118	"http://linkedgeodata.org/ontology/owner"
183	0.000954183547373	"http://linkedgeodata.org/ontology/source_ref"
163	0.000849901192469	"http://linkedgeodata.org/ontology/payment%3Acash"
162	0.000844687074724	"http://linkedgeodata.org/ontology/indoor"
162	0.000844687074724	"http://linkedgeodata.org/ontology/idrettsanleggregisteret%3Aiid"
161	0.000839472956978	"http://linkedgeodata.org/ontology/building%3Acolour"
http://linkedgeodata.org/ontology/FastFood
"n_sp"	"ratio_n_sp_stot"	"p"
191019	1	"http://linkedgeodata.org/ontology/changeset"
191019	1	"http://linkedgeodata.org/ontology/version"
155472	0.813908564069543	"http://linkedgeodata.org/ontology/gadmSameAs"
107982	0.565294551850863	"http://linkedgeodata.org/ontology/cuisine"
40333	0.211146535161424	"http://linkedgeodata.org/ontology/addr%3Astreet"
34846	0.182421643920238	"http://linkedgeodata.org/ontology/addr%3Ahousenumber"
30395	0.159120296933813	"http://linkedgeodata.org/ontology/addr%3Acity"
