Number	Opening_hours	Distance
8	11:00-23:59	1
8	Mo-Su 06:30-22:00	0
8	Mo-Fr 07:30-18:00	0
8	Mo-Sa 06:00-18:00; Su 07:00-18:00	0
8	Mo-Sa 08:00-23:00; Su 09:00-22:00	0
8	Mo-Fr 07:00-21:00; Sa,Su,PH 08:00-21:00	0
8	Mo-Sa 08:00-22:00	0
8	11:00-02:00	1
8	Su 14:00-18:00	0
8	Mo-Sa 09:00-21:00; Su 10:00-20:00	0
8	Mo-Sa 11:00-23:00	0
8	Mo-Sa 07:00-22:00; Su,PH 08:00-21:00	0
8	11:00-19:00	1
8	Mo-Su 06:00-19:00	0
8	Mo-Fr 08:00-15:00	0
8	Tu-Sa 10:00-18:00	0
8	Mo-Su 7:00-23:00	2
8	7:00-23:00	1
8	Mo-Sa 09:00-18:00; Su 10:00-18:00	0
8	Mo-Sa 09:00-19:00; Su 10:00-19:00	0
8	00:00-00:00	1
7	9:00-21:00	1
7	12:00-20:00	1
7	12:00-00:00	1
7	Mo-Su 13:00-18:00	0
7	Mo-Sa 09:00-21:00	0
7	Mo-Fr 10:00-18:00; Sa 10:00-16:00	0
7	Mo-Su 10:30-23:00	0
7	Mo-Fr 07:00-18:00; Sa-Su 09:00-17:00	0
7	Mo-Su 00:00-02:00,12:00-24:00	0
7	Mo-Su 10:00-00:00	0
7	Mo-Fr 08:00-14:00	0
7	Mo-Fr 08:00-22:00	0
7	Mo-Su 06:00-24:00	0
7	Mo-Fr 06:45-22:00; Sa,Su,PH 07:00-22:00	0
7	Mo-Sa 07:00-19:00	0
7	Mo-Su 07:30-18:00	0
7	09:00-02:00	1
7	Mo-Fr 07:00-15:00	0
7	Mo-Fr 07:30-21:00; Sa 08:00-21:00; Su,PH 08:00-20:00	0
7	Mo-Fr 08:00-18:00; Sa 08:00-14:00	0
7	9:00-23:00	1
7	Mo-Fr 12:00-16:00	0
7	Mo-Sa 11:00-20:00	0
7	Mo-Fr 08:30-17:00	0
7	10-22	3
7	Mo-Fr 10:00-20:00	0
7	Mo-Fr 07:30-16:00	0
7	08:00-19:00	1
7	9:00-17:00	1
7	Mo-Su 07:30-22:30	0
7	09:00-16:00	1
7	8:00-20:00	1
7	Mo-Th 11:00-01:00; Fr-Sa 11:00-02:00; Su 11:00-01:00	0
7	06:00-22:00	1
7	Tu-Su 08:00-15:00; Sa 08:00-12:00	0
6	Mo-Fr 08:00-22:00; Sa-Su 09:00-22:00	0
6	Mo-Fr 09:00-15:00	0
6	Tu-Su 10:00-20:00	0
6	Mo-Su 12:00-02:00	0
6	12:00-01:00	1
6	Mo-Sa 09:00-23:59; Su 10:00-23:59	0
6	10:00-23:59	1
6	Mo-Sa 11:00-19:00	0
6	Tu-Su 10:00-22:00	0
6	Mo-Sa 9:00-21:00; Su 10:00-20:00	0
6	Mo-Sa 09:30-19:00	0
6	Mo-Su 07:00-26:00	2
6	Mo-Su 08:00-01:00	0
6	Fr-Su 14:00-18:00	0
6	Mo-Fr 07:30-21:30; Sa,Su,PH 08:00-21:00	0
6	05:00-21:00	1
6	Mo-Su 11:00-17:00	0
6	Mo-Fr 09:00-18:00; Sa 09:00-14:00	0
6	12:00-19:00	1
6	Mo-Sa 07:30-21:00; Su,PH 08:00-20:00	0
6	Mo-Fr 06:00-18:00	0
6	Mo-Fr 08:30-20:00; Sa,Su 08:00-15:00; PH 00:00-00:00	0
6	08:00-01:00	1
6	Mo-Fr	2
6	Mo-Sa 07:00-18:00	0
6	Mo-Su 11:00-01:00	0
6	Su 14:00-17:00	0
6	10:00-02:00	1
6	Mo-Sa 08:00-19:00	0
6	Mo-Su 08:30-23:00	0
6	Th-Su 14:00-18:00	0
6	08:00-17:00	1
6	09:00-23:59	1
6	Mo-Sa 09:00-19:00	0
6	Tu-Su 11:00-19:00	0
6	08:00-02:00	1
6	Tu-Su 11:00-20:00	0
6	9:00-19:00	1
6	Mo-Fr 08:00-19:00; Sa,Su,PH 00:00-00:00	0
6	Mo-Fr 07:00-19:00; Sa,Su 08:00-19:00	0
6	Mo-Fr 06:45-23:00; Sa,Su,PH 07:00-23:00	0
6	Tu-Su	2
5	Mo-Su 9:00-22:00	2
5	Mo-Su 11:00-00:00	0
5	Sa-Su	2
5	8:00-24:00	1
5	Sa-Su 11:00-16:00	0
5	Mo-Su 12:00-19:00	0
5	Mo-Fr 07:30-15:00	0
5	Mo-Fr 08:00-16:30	0
5	Mo-Fr 07:00-21:00; Sa 07:30-21:00; Su,PH 08:00-20:00	0
5	Mo-Su 05:00-21:00	0
5	Mo-Th 05:30-23:00; Fr 05:30-24:00; Sa 06:00-24:00; Su 06:00-23:00	0
5	Jan-Apr Sa-Su 11:00-15:00	0
5	Mo-Fr 07:30-22:00	0
5	Mo-Fr 10:00-22:00	0
5	Mo-Su 08:00-21:30	0
5	Mo-Su 00:00-01:00,12:00-24:00	0
5	Mo-Fr 07:00-22:00; Sa 08:00-22:00; Su,PH 08:00-21:00	0
5	9:00-20:00	1
5	Mo-Fr 07:30-23:00; Sa,Su 09:00-23:00	0
5	Mo-Fr 07:00-22:00; Sa,Su,PH 08:00-20:00	0
5	Mo-Su 09:00-02:00	0
5	Mo-Fr 08:30-18:00	0
5	Mo-Fr 07:00-21:00; Sa 08:00-20:00; Su,PH 08:00-19:00	0
5	08:00-16:00	1
5	Mo-Fr 07:00-23:00; Sa,Su 09:00-23:00	0
5	7:00-22:00	1
5	Mo-Fr 07:00-19:00; Sa-Su 09:00-19:00	0
5	We-Su 09:00-18:00	0
5	Mo-Fr 11:00-24:00; Sa,Su 00:00-02:00,11:00-24:00	0
5	Mo-Sa 07:00-24:00	0
5	Su 00:00-00:00	0
5	Mo-Fr 06:30-22:00; Sa,Su,PH 07:00-22:00	0
5	Mo-Fr 07:00-21:00;Sa-Su 09:00-20:00	0
5	Mo-Su 12:00-23:59	0
5	Tu-Su 08:00-18:00	0
5	Mo-Fr 07:00-21:00; Sa,Su,PH 07:30-21:00	0
5	11:00-22:00	1
5	05:00-22:00	1
5	Mo-Su 07:00-02:00	0
5	Mo-Fr 07:30-20:00; Sa,Su,PH 00:00-00:00	0
5	Mo-Su 08:30-21:00	0
5	Tu-Su 10:00-24:00	0
5	Mo-Fr 07:00-22:30; Sa,Su,PH 08:00-22:30	0
5	Mo-Sa 07:00-22:00; Su,PH 08:00-22:00	0
5	Mo-Su 07:00-00:00	0
5	07:00-17:00	1
5	Mo-Fr 09:00-19:00; Sa 09:00-17:00	0
5	Mo-Su 10:00-23:59	0
5	Mo-Sa 10:00-22:00; Su 11:00-22:00	0
5	Mo-Fr 06:00-18:00; Sa 06:00-12:00	0
5	11:00-17:00	1
5	Mo-Fr 05:30-21:00; Sa-Su 06:00-21:00	0
5	Mo-Su 8:00-21:00	2
5	07:00-20:00	1
5	Mo-Sa 08:00-21:00	0
5	Mo-Fr 07:30-22:00; Sa,Su,PH 08:00-22:00	0
5	Mo-Su 05:00-20:00	0
