"n_stot"	"subClass"
54266	"http://linkedgeodata.org/ontology/SportsCentre"
53443	"http://linkedgeodata.org/ontology/Library"
53035	"http://linkedgeodata.org/ontology/Museum"
52744	"http://linkedgeodata.org/ontology/Ruins"
52439	"http://linkedgeodata.org/ontology/Track"
50697	"http://linkedgeodata.org/ontology/WaterTower"
49826	"http://linkedgeodata.org/ontology/Doctors"
45461	"http://linkedgeodata.org/ontology/Entrance"
43875	"http://linkedgeodata.org/ontology/CarShop"
43647	"http://linkedgeodata.org/ontology/Airport"
43431	"http://linkedgeodata.org/ontology/CyclewayOpposite"
43232	"http://linkedgeodata.org/ontology/HighwayService"
42655	"http://linkedgeodata.org/ontology/Kiosk"
41617	"http://linkedgeodata.org/ontology/WaterWell"
41175	"http://linkedgeodata.org/ontology/TramStop"
40537	"http://linkedgeodata.org/ontology/Silo"
39433	"http://linkedgeodata.org/ontology/Craft"
39413	"http://linkedgeodata.org/ontology/Block"
39370	"http://linkedgeodata.org/ontology/SocialFacility"
38729	"http://linkedgeodata.org/ontology/Artwork"
38651	"http://linkedgeodata.org/ontology/University"
37753	"http://linkedgeodata.org/ontology/EmergencyPhone"
