?n_s	?subject
1	<http://linkedgeodata.org/triplify/node1287982081>
1	<http://linkedgeodata.org/triplify/node1307486982>
1	<http://linkedgeodata.org/triplify/node1307486983>
1	<http://linkedgeodata.org/triplify/node1307486984>
1	<http://linkedgeodata.org/triplify/node1307486985>
1	<http://linkedgeodata.org/triplify/node1507147867>
1	<http://linkedgeodata.org/triplify/node1507147869>
1	<http://linkedgeodata.org/triplify/node1507147870>
1	<http://linkedgeodata.org/triplify/node1507147872>
1	<http://linkedgeodata.org/triplify/node1507147876>
1	<http://linkedgeodata.org/triplify/node1507147879>
1	<http://linkedgeodata.org/triplify/node1507147884>
1	<http://linkedgeodata.org/triplify/node1507147891>
1	<http://linkedgeodata.org/triplify/node1507147892>
1	<http://linkedgeodata.org/triplify/node1507147895>
1	<http://linkedgeodata.org/triplify/node1507147904>
1	<http://linkedgeodata.org/triplify/node1507147905>
1	<http://linkedgeodata.org/triplify/node1507147914>
1	<http://linkedgeodata.org/triplify/node1507147918>
1	<http://linkedgeodata.org/triplify/node1507147921>
1	<http://linkedgeodata.org/triplify/node1966242300>
1	<http://linkedgeodata.org/triplify/node2031555393>
1	<http://linkedgeodata.org/triplify/node2803027994>
1	<http://linkedgeodata.org/triplify/node318018945>
1	<http://linkedgeodata.org/triplify/way106953759>
1	<http://linkedgeodata.org/triplify/way153777168>
1	<http://linkedgeodata.org/triplify/way32743721>
1	<http://linkedgeodata.org/triplify/way33445817>
1	<http://linkedgeodata.org/triplify/way34204154>
1	<http://linkedgeodata.org/triplify/way96837427>
