http://linkedgeodata.org/ontology/opening_hours	
"n_so"	"o"
5	"16:00-22:00"
5	"Mo-Sa 10:00-19:00; PH off"
5	"9:00-22:00"
5	"7:00-24:00"
5	"10:00-00:00"
5	"Mo-Sa 10:00-18:00"
5	"Mo-Fr 11:00-23:00; Sa,Su 12:00-23:00"
5	"Mo-Su 10:00-19:00"
5	"10:00-18:00"
5	"Mo-Fr 11:00-20:00; Sa,Su 12:00-20:00"
5	"Mo-Sa 11:30-22:00; Su 12:00-22:00"
5	"Mo-Sa 10:00-23:00; Su 11:00-23:00"
5	"06:30-23:00"
5	"15:00-22:00"
5	"Mo-Fr 08:00-22:00; Sa-Su 10:00-22:00"
5	"Mo-Sa 11:00-22:00;Su 12:00-22:00"
5	"summer"
4	"Mo-Su 13:00-22:00"
4	"Mo-Sa 11:00-21:30; Su 12:00-21:30"
4	"Su-Th 11:00-24:00; Fr-Sa 11:00-02:00"
4	"Tu off"
4	"Mo-Fr 11:00-23:00; Sa,Su,PH 12:00-23:00"
4	"Mo-Sa 10:00-22:00; Su off"
4	"9:00-23:00"
4	"Mo-Su 11:00-00:00"
4	"Mo-Sa 10:00-22:00; Su 11:00-21:00"
4	"Mo-Su 05:00-22:00"
4	"06:00-14:00"
4	"Mo-Sa 10:00-21:00; Su 11:00-20:00"
4	"Su-Th 10:00-24:00; Fr-Sa 10:00-01:00"
4	"Mo-Su 10:00-00:00"
4	"Mo-Su 5:00-23:00"
4	"Su,Mo-We 11:00-23:00; Th-Sa 11:00-02:00"
4	"Mo-Su 9:00-23:00"
4	"07:00-00:00"
4	"11:00 - 22:00"
4	"Mo-Th 10:00-22:00; Fr-Sa 10:00-23:00; Su 11:00-22:00"
4	"Mo-Sa 11:00-22:00; Su, PH 12:00-22:00"
4	"Mo-Su 11:00-02:00"
4	"Mo-Fr 10:00-22:00; Sa-Su 12:00-22:00"
4	"Mo-Sa 11:00-21:00; Su off"
4	"Mo-Su 11:30-00:00"
4	"Mo-Fr 06:00-15:00"
4	"Mo-Fr 10:00-20:00; Sa 10:00-19:00"
4	"Mo-Su 11:30-23:30"
4	"Mo-Su 10:00-23:30"
4	"Mo-Sa 10:00-21:00; Su 12:00-21:00"
4	"12:00-21:00"
4	"Mo-Su 08:00-19:00"
4	"Mo-Su 11:30-21:00"
4	"09:00-18:00"
4	"8:00-23:00"
4	"Mo-Fr 08:30-14:30"
4	"Tu-Su 11:30-22:00"
4	"Tu-Sa 11:00-22:00; Su 12:00-22:00"
4	"Mo-Fr 07:00-19:00;Sa 11:00-17:00;Su off"
4	"12:00-24:00"
4	"Tu-Su 11:30-22:30"
4	"Mo-Su 14:00-22:00"
4	"wd 11:00-23:00; Sa,Su,PH 10:30-23:00"
4	"Su,Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00"
4	"Mo-Th 11:00-22:00;Fr-Sa 11:00-23:00;Su 11:00-22:00"
4	"Mo-Su 11:00-14:00,17:00-22:30"
4	"Tu-Su 18:00-22:00"
4	"05:00-23:00"
4	"Mo-Sa 10:00-23:00; Su 10:00-22:00"
