http://linkedgeodata.org/ontology/opening_hours
"n_so"	"o"
8	"11:00+"
8	"Mo-Su 06:30-22:00"
8	"Mo-Fr 07:30-18:00"
8	"Mo-Sa 06:00-18:00; Su 07:00-18:00"
8	"Mo-Sa 08:00-23:00; Su 09:00-22:00"
8	"Mo-Fr 07:00-21:00; Sa,Su,PH 08:00-21:00"
8	"Mo-Sa 08:00-22:00"
8	"11:00-02:00"
8	"Su 14:00-18:00"
8	"Mo-Sa 09:00-21:00; Su 10:00-20:00"
8	"Mo-Sa 11:00-23:00"
8	"Mo-Sa 07:00-22:00; Su,PH 08:00-21:00"
8	"11:00-19:00"
8	"Mo-Su 06:00-19:00"
8	"Mo-Fr 08:00-15:00"
8	"Tu-Sa 10:00-18:00"
8	"Mo-Su 7:00-23:00"
8	"7:00-23:00"
8	"Mo-Sa 09:00-18:00; Su 10:00-18:00"
8	"Mo-Sa 09:00-19:00; Su 10:00-19:00"
8	"closed"
7	"9:00-21:00"
7	"12:00-20:00"
7	"12:00-00:00"
7	"Mo-Su 13:00-18:00"
7	"Mo-Sa 09:00-21:00"
7	"Mo-Fr 10:00-18:00; Sa 10:00-16:00"
7	"Mo-Su 10:30-23:00"
7	"Mo-Fr 07:00-18:00; Sa-Su 09:00-17:00"
7	"Mo-Su 00:00-02:00,12:00-24:00"
7	"Mo-Su 10:00-00:00"
7	"Mo-Fr 08:00-14:00"
7	"Mo-Fr 08:00-22:00"
7	"Mo-Su 06:00-24:00"
7	"Mo-Fr 06:45-22:00; Sa,Su,PH 07:00-22:00"
7	"Mo-Sa 07:00-19:00"
7	"Mo-Su 07:30-18:00"
7	"09:00-02:00"
7	"Mo-Fr 07:00-15:00"
7	"Mo-Fr 07:30-21:00; Sa 08:00-21:00; Su,PH 08:00-20:00"
7	"Mo-Fr 08:00-18:00; Sa 08:00-14:00"
7	"9:00-23:00"
7	"Mo-Fr 12:00-16:00"
7	"Mo-Sa 11:00-20:00"
7	"Mo-Fr 08:30-17:00"
7	"10-22"
7	"Mo-Fr 10:00-20:00"
7	"Mo-Fr 07:30-16:00"
7	"08:00-19:00"
7	"9:00-17:00"
7	"Mo-Su 07:30-22:30"
7	"09:00-16:00"
7	"8:00-20:00"
7	"Mo-Th 11:00-01:00; Fr-Sa 11:00-02:00; Su 11:00-01:00"
7	"06:00-22:00"
7	"Tu-Su 08:00-15:00; Sa 08:00-12:00"
6	"Mo-Fr 08:00-22:00; Sa-Su 09:00-22:00"
6	"Mo-Fr 09:00-15:00"
6	"Tu-Su 10:00-20:00"
6	"Mo-Su 12:00-02:00"
6	"12:00-01:00"
6	"Mo-Sa 09:00+; Su 10:00+"
6	"10:00+"
6	"Mo-Sa 11:00-19:00"
6	"Tu-Su 10:00-22:00"
6	"Mo-Sa 9:00-21:00; Su 10:00-20:00"
6	"Mo-Sa 09:30-19:00"
6	"Mo-Su 07:00-26:00"
6	"Mo-Su 08:00-01:00"
6	"Fr-Su 14:00-18:00"
6	"Mo-Fr 07:30-21:30; Sa,Su,PH 08:00-21:00"
6	"05:00-21:00"
6	"Mo-Su 11:00-17:00"
6	"Mo-Fr 09:00-18:00; Sa 09:00-14:00"
6	"12:00-19:00"
6	"Mo-Sa 07:30-21:00; Su,PH 08:00-20:00"
6	"Mo-Fr 06:00-18:00"
6	"Mo-Fr 08:30-20:00; Sa,Su 08:00-15:00; PH off"
6	"08:00-01:00"
6	"Mo-Fr"
6	"Mo-Sa 07:00-18:00"
6	"Mo-Su 11:00-01:00"
6	"Su 14:00-17:00"
6	"10:00-02:00"
6	"Mo-Sa 08:00-19:00"
6	"Mo-Su 08:30-23:00"
6	"Th-Su 14:00-18:00"
6	"08:00-17:00"
6	"09:00+"
6	"Mo-Sa 09:00-19:00"
6	"Tu-Su 11:00-19:00"
6	"08:00-02:00"
6	"Tu-Su 11:00-20:00"
6	"9:00-19:00"
