?n_s	?subject
1	<http://linkedgeodata.org/triplify/node1003842843>
1	<http://linkedgeodata.org/triplify/node1010398915>
1	<http://linkedgeodata.org/triplify/node1017347769>
1	<http://linkedgeodata.org/triplify/node1026149721>
1	<http://linkedgeodata.org/triplify/node1026153699>
1	<http://linkedgeodata.org/triplify/node1031477567>
1	<http://linkedgeodata.org/triplify/node1069530223>
1	<http://linkedgeodata.org/triplify/node1129226827>
1	<http://linkedgeodata.org/triplify/node1132403384>
1	<http://linkedgeodata.org/triplify/node1132414558>
1	<http://linkedgeodata.org/triplify/node1132445659>
1	<http://linkedgeodata.org/triplify/node1149143483>
1	<http://linkedgeodata.org/triplify/node1160923001>
1	<http://linkedgeodata.org/triplify/node1160932456>
1	<http://linkedgeodata.org/triplify/node1231778672>
1	<http://linkedgeodata.org/triplify/node1234610543>
1	<http://linkedgeodata.org/triplify/node1260449318>
1	<http://linkedgeodata.org/triplify/node1276923287>
1	<http://linkedgeodata.org/triplify/node1279211879>
1	<http://linkedgeodata.org/triplify/node1309870281>
1	<http://linkedgeodata.org/triplify/node1326669085>
1	<http://linkedgeodata.org/triplify/node1334741420>
1	<http://linkedgeodata.org/triplify/node1379684664>
1	<http://linkedgeodata.org/triplify/node1385862246>
1	<http://linkedgeodata.org/triplify/node1420781298>
1	<http://linkedgeodata.org/triplify/node1422547214>
1	<http://linkedgeodata.org/triplify/node1443365148>
1	<http://linkedgeodata.org/triplify/node1448105465>
1	<http://linkedgeodata.org/triplify/node1453567530>
1	<http://linkedgeodata.org/triplify/node1455828346>
1	<http://linkedgeodata.org/triplify/node1467700698>
1	<http://linkedgeodata.org/triplify/node1488899323>
1	<http://linkedgeodata.org/triplify/node1503951450>
1	<http://linkedgeodata.org/triplify/node1512454488>
1	<http://linkedgeodata.org/triplify/node1527269424>
1	<http://linkedgeodata.org/triplify/node1539285608>
1	<http://linkedgeodata.org/triplify/node1544000287>
1	<http://linkedgeodata.org/triplify/node1576167956>
1	<http://linkedgeodata.org/triplify/node1577235652>
1	<http://linkedgeodata.org/triplify/node1582440729>
1	<http://linkedgeodata.org/triplify/node1582440755>
1	<http://linkedgeodata.org/triplify/node1604534578>
1	<http://linkedgeodata.org/triplify/node162407648>
1	<http://linkedgeodata.org/triplify/node1644485558>
1	<http://linkedgeodata.org/triplify/node1650634115>
1	<http://linkedgeodata.org/triplify/node1654991968>
1	<http://linkedgeodata.org/triplify/node1662260034>
1	<http://linkedgeodata.org/triplify/node1677520588>
1	<http://linkedgeodata.org/triplify/node1707059658>
1	<http://linkedgeodata.org/triplify/node1711144230>
1	<http://linkedgeodata.org/triplify/node1712497058>
1	<http://linkedgeodata.org/triplify/node1722813468>
1	<http://linkedgeodata.org/triplify/node1735935716>
1	<http://linkedgeodata.org/triplify/node1736081944>
1	<http://linkedgeodata.org/triplify/node1736089065>
1	<http://linkedgeodata.org/triplify/node1740602310>
1	<http://linkedgeodata.org/triplify/node177058049>
1	<http://linkedgeodata.org/triplify/node1797724988>
1	<http://linkedgeodata.org/triplify/node1797724989>
1	<http://linkedgeodata.org/triplify/node1797724990>
1	<http://linkedgeodata.org/triplify/node1797724991>
1	<http://linkedgeodata.org/triplify/node1797724992>
