?n_s	?subject
1	<http://linkedgeodata.org/triplify/node1236574875>
1	<http://linkedgeodata.org/triplify/node1437739863>
1	<http://linkedgeodata.org/triplify/node1437739871>
1	<http://linkedgeodata.org/triplify/node1437747486>
1	<http://linkedgeodata.org/triplify/node1478852683>
1	<http://linkedgeodata.org/triplify/node1481088783>
1	<http://linkedgeodata.org/triplify/node1481088785>
1	<http://linkedgeodata.org/triplify/node1481088791>
1	<http://linkedgeodata.org/triplify/node1481088793>
1	<http://linkedgeodata.org/triplify/node1481088796>
1	<http://linkedgeodata.org/triplify/node1481088798>
1	<http://linkedgeodata.org/triplify/node1481088800>
1	<http://linkedgeodata.org/triplify/node1481088805>
1	<http://linkedgeodata.org/triplify/node1481088806>
1	<http://linkedgeodata.org/triplify/node1481088933>
1	<http://linkedgeodata.org/triplify/node1483352305>
1	<http://linkedgeodata.org/triplify/node1483352441>
1	<http://linkedgeodata.org/triplify/node1483499917>
1	<http://linkedgeodata.org/triplify/node1483499949>
1	<http://linkedgeodata.org/triplify/node1484524771>
1	<http://linkedgeodata.org/triplify/node1509895449>
1	<http://linkedgeodata.org/triplify/node1573642018>
1	<http://linkedgeodata.org/triplify/node1573734002>
1	<http://linkedgeodata.org/triplify/node1638476658>
1	<http://linkedgeodata.org/triplify/node1678188004>
1	<http://linkedgeodata.org/triplify/node1687882826>
1	<http://linkedgeodata.org/triplify/node1687883862>
1	<http://linkedgeodata.org/triplify/node1687884145>
1	<http://linkedgeodata.org/triplify/node1687884214>
1	<http://linkedgeodata.org/triplify/node1687884319>
1	<http://linkedgeodata.org/triplify/node1702974859>
1	<http://linkedgeodata.org/triplify/node1702975159>
1	<http://linkedgeodata.org/triplify/node1702976165>
1	<http://linkedgeodata.org/triplify/node1703027793>
1	<http://linkedgeodata.org/triplify/node1710799821>
1	<http://linkedgeodata.org/triplify/node1710799822>
1	<http://linkedgeodata.org/triplify/node1710799823>
1	<http://linkedgeodata.org/triplify/node1710799825>
1	<http://linkedgeodata.org/triplify/node1710799829>
1	<http://linkedgeodata.org/triplify/node1710799830>
1	<http://linkedgeodata.org/triplify/node1710799831>
1	<http://linkedgeodata.org/triplify/node1710799832>
1	<http://linkedgeodata.org/triplify/node1710799833>
1	<http://linkedgeodata.org/triplify/node1710799843>
1	<http://linkedgeodata.org/triplify/node1710799846>
1	<http://linkedgeodata.org/triplify/node1710799847>
1	<http://linkedgeodata.org/triplify/node1710799848>
1	<http://linkedgeodata.org/triplify/node1710799850>
1	<http://linkedgeodata.org/triplify/node1710799852>
1	<http://linkedgeodata.org/triplify/node1710799854>
1	<http://linkedgeodata.org/triplify/node1710799855>
1	<http://linkedgeodata.org/triplify/node1710799858>
1	<http://linkedgeodata.org/triplify/node1710799860>
1	<http://linkedgeodata.org/triplify/node1710799861>
1	<http://linkedgeodata.org/triplify/node1710799863>
1	<http://linkedgeodata.org/triplify/node1710799864>
1	<http://linkedgeodata.org/triplify/node1728082194>
1	<http://linkedgeodata.org/triplify/node1728082218>
1	<http://linkedgeodata.org/triplify/node1735652754>
1	<http://linkedgeodata.org/triplify/node1735652761>
1	<http://linkedgeodata.org/triplify/node1763648834>
