?n	?predicate
1713205	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
420956	<http://geovocab.org/geometry#geometry>
420956	<http://linkedgeodata.org/ontology/changeset>
420956	<http://linkedgeodata.org/ontology/version>
420956	<http://purl.org/dc/terms/contributor>
420956	<http://purl.org/dc/terms/modified>
403651	<http://www.w3.org/2000/01/rdf-schema#label>
348925	<http://linkedgeodata.org/ontology/gadmSameAs>
348925	<http://www.w3.org/2003/01/geo/wgs84_pos#lat>
348925	<http://www.w3.org/2003/01/geo/wgs84_pos#long>
184408	<http://linkedgeodata.org/ontology/cuisine>
106579	<http://linkedgeodata.org/ontology/addr%3Astreet>
99627	<http://linkedgeodata.org/ontology/addr%3Ahousenumber>
75843	<http://linkedgeodata.org/ontology/addr%3Acity>
71150	<http://linkedgeodata.org/ontology/addr:postcode>
61946	<http://linkedgeodata.org/ontology/building>
49558	<http://xmlns.com/foaf/0.1/phone>
47805	<http://xmlns.com/foaf/0.1/homepage>
47454	<http://linkedgeodata.org/ontology/source>
39149	<http://linkedgeodata.org/ontology/addr%3Acountry>
29888	<http://linkedgeodata.org/ontology/opening_hours>
29173	<http://linkedgeodata.org/ontology/wheelchair>
10867	<http://linkedgeodata.org/ontology/smoking>
9460	<http://linkedgeodata.org/ontology/operator>
7153	<http://linkedgeodata.org/ontology/addr%3Ahousename>
7007	<http://linkedgeodata.org/ontology/contact%3Aphone>
5410	<http://xmlns.com/foaf/0.1/fax>
5400	<http://linkedgeodata.org/ontology/internet_access>
4575	<http://linkedgeodata.org/ontology/createdBy>
4451	<http://linkedgeodata.org/ontology/ncat>
4152	<http://linkedgeodata.org/ontology/contact%3Awebsite>
3808	<http://linkedgeodata.org/ontology/note>
3682	<http://linkedgeodata.org/ontology/addr%3Astate>
3097	<http://linkedgeodata.org/ontology/addr%3Asuburb>
3057	<http://linkedgeodata.org/ontology/outdoor_seating>
2866	<http://linkedgeodata.org/ontology/capacity>
2843	<http://www.w3.org/1999/02/22-rdf-syntax-ns#comment>
2794	<http://linkedgeodata.org/ontology/takeaway>
2290	<http://www.w3.org/2004/02/skos/core#altLabel>
2262	<http://linkedgeodata.org/ontology/building%3Alevels>
2222	<http://linkedgeodata.org/ontology/internet_access%3Afee>
2208	<http://linkedgeodata.org/ontology/contact%3Aemail>
1963	<http://linkedgeodata.org/ontology/brand>
