"n_stot"	"subClass"
63422	"http://linkedgeodata.org/ontology/CampSite"
60242	"http://linkedgeodata.org/ontology/CarRepairShop"
57952	"http://linkedgeodata.org/ontology/Fountain"
56172	"http://linkedgeodata.org/ontology/Stile"
56057	"http://linkedgeodata.org/ontology/PowerSubStation"
55825	"http://linkedgeodata.org/ontology/GuestHouse"
55652	"http://linkedgeodata.org/ontology/CycleBarrier"
55094	"http://linkedgeodata.org/ontology/UnclassifiedHighway"
54266	"http://linkedgeodata.org/ontology/SportsCentre"
53443	"http://linkedgeodata.org/ontology/Library"
53035	"http://linkedgeodata.org/ontology/Museum"
52744	"http://linkedgeodata.org/ontology/Ruins"
52439	"http://linkedgeodata.org/ontology/Track"
50697	"http://linkedgeodata.org/ontology/WaterTower"
49826	"http://linkedgeodata.org/ontology/Doctors"
45461	"http://linkedgeodata.org/ontology/Entrance"
43875	"http://linkedgeodata.org/ontology/CarShop"
43647	"http://linkedgeodata.org/ontology/Airport"
43431	"http://linkedgeodata.org/ontology/CyclewayOpposite"
43232	"http://linkedgeodata.org/ontology/HighwayService"
42655	"http://linkedgeodata.org/ontology/Kiosk"
41617	"http://linkedgeodata.org/ontology/WaterWell"
41175	"http://linkedgeodata.org/ontology/TramStop"
40537	"http://linkedgeodata.org/ontology/Silo"
39433	"http://linkedgeodata.org/ontology/Craft"
39413	"http://linkedgeodata.org/ontology/Block"
39370	"http://linkedgeodata.org/ontology/SocialFacility"
38729	"http://linkedgeodata.org/ontology/Artwork"
38651	"http://linkedgeodata.org/ontology/University"
37753	"http://linkedgeodata.org/ontology/EmergencyPhone"
37569	"http://linkedgeodata.org/ontology/Signal"
36868	"http://linkedgeodata.org/ontology/CarWash"
35587	"http://linkedgeodata.org/ontology/WastewaterPlant"
35274	"http://linkedgeodata.org/ontology/IndustrialLanduse"
35253	"http://linkedgeodata.org/ontology/Runway"
33688	"http://linkedgeodata.org/ontology/Surveillance"
33613	"http://linkedgeodata.org/ontology/College"
33511	"http://linkedgeodata.org/ontology/ArchaeologicalSite"
33490	"http://linkedgeodata.org/ontology/HistoricPointOfInterest"
33232	"http://linkedgeodata.org/ontology/Farm"
32813	"http://linkedgeodata.org/ontology/Monument"
32288	"http://linkedgeodata.org/ontology/PetroleumWell"
31967	"http://linkedgeodata.org/ontology/Butcher"
31633	"http://linkedgeodata.org/ontology/Path"
31392	"http://linkedgeodata.org/ontology/Transformer"
31175	"http://linkedgeodata.org/ontology/Subway"
30604	"http://linkedgeodata.org/ontology/RailwayHalt"
30078	"http://linkedgeodata.org/ontology/CommunityCentre"
30055	"http://linkedgeodata.org/ontology/BusStation"
29861	"http://linkedgeodata.org/ontology/FloristShop"
29830	"http://linkedgeodata.org/ontology/TollBooth"
29797	"http://linkedgeodata.org/ontology/Marketplace"
29655	"http://linkedgeodata.org/ontology/Dentist"
29521	"http://linkedgeodata.org/ontology/Doityourself"
28700	"http://linkedgeodata.org/ontology/Helipad"
28508	"http://linkedgeodata.org/ontology/WasteDisposal"
27989	"http://linkedgeodata.org/ontology/Pylon"
27357	"http://linkedgeodata.org/ontology/BuildingRetail"
27314	"http://linkedgeodata.org/ontology/GrassLanduse"
27220	"http://linkedgeodata.org/ontology/NarrowGauge"
26650	"http://linkedgeodata.org/ontology/Footway"
24430	"http://linkedgeodata.org/ontology/CattleGrid"
23925	"http://linkedgeodata.org/ontology/Castle"
23828	"http://linkedgeodata.org/ontology/River"
23713	"http://linkedgeodata.org/ontology/ProtectedArea"
23140	"http://linkedgeodata.org/ontology/Mast"
23096	"http://linkedgeodata.org/ontology/BuildingSchool"
22826	"http://linkedgeodata.org/ontology/BicycleShop"
22774	"http://linkedgeodata.org/ontology/Chimney"
22637	"http://linkedgeodata.org/ontology/MilitaryBunker"
22200	"http://linkedgeodata.org/ontology/Chalet"
21997	"http://linkedgeodata.org/ontology/Apron"
21902	"http://linkedgeodata.org/ontology/Taxi"
21843	"http://linkedgeodata.org/ontology/Furniture"
21694	"http://linkedgeodata.org/ontology/Theatre"
21640	"http://linkedgeodata.org/ontology/AerialwayStation"
21526	"http://linkedgeodata.org/ontology/Shoes"
21455	"http://linkedgeodata.org/ontology/RailwayMilestone"
21454	"http://linkedgeodata.org/ontology/AlcoholShop"
21263	"http://linkedgeodata.org/ontology/Motel"
