"n_stot"	"subClass"
38651	"http://linkedgeodata.org/ontology/University"
37753	"http://linkedgeodata.org/ontology/EmergencyPhone"
37569	"http://linkedgeodata.org/ontology/Signal"
36868	"http://linkedgeodata.org/ontology/CarWash"
35587	"http://linkedgeodata.org/ontology/WastewaterPlant"
35274	"http://linkedgeodata.org/ontology/IndustrialLanduse"
35253	"http://linkedgeodata.org/ontology/Runway"
33688	"http://linkedgeodata.org/ontology/Surveillance"
33613	"http://linkedgeodata.org/ontology/College"
33511	"http://linkedgeodata.org/ontology/ArchaeologicalSite"
33490	"http://linkedgeodata.org/ontology/HistoricPointOfInterest"
33232	"http://linkedgeodata.org/ontology/Farm"
32813	"http://linkedgeodata.org/ontology/Monument"
32288	"http://linkedgeodata.org/ontology/PetroleumWell"
31967	"http://linkedgeodata.org/ontology/Butcher"
31633	"http://linkedgeodata.org/ontology/Path"
31392	"http://linkedgeodata.org/ontology/Transformer"
31175	"http://linkedgeodata.org/ontology/Subway"
30604	"http://linkedgeodata.org/ontology/RailwayHalt"
30078	"http://linkedgeodata.org/ontology/CommunityCentre"
30055	"http://linkedgeodata.org/ontology/BusStation"
