?n_s	?subject
1	<http://linkedgeodata.org/triplify/node1024787330>
1	<http://linkedgeodata.org/triplify/node1029261748>
1	<http://linkedgeodata.org/triplify/node1068962494>
1	<http://linkedgeodata.org/triplify/node1071447187>
1	<http://linkedgeodata.org/triplify/node1073214693>
1	<http://linkedgeodata.org/triplify/node1076396858>
1	<http://linkedgeodata.org/triplify/node1077101284>
1	<http://linkedgeodata.org/triplify/node1077704688>
1	<http://linkedgeodata.org/triplify/node1082601194>
1	<http://linkedgeodata.org/triplify/node1095065428>
1	<http://linkedgeodata.org/triplify/node1107400873>
1	<http://linkedgeodata.org/triplify/node1109773506>
1	<http://linkedgeodata.org/triplify/node1111888924>
1	<http://linkedgeodata.org/triplify/node1129822648>
1	<http://linkedgeodata.org/triplify/node1133483488>
1	<http://linkedgeodata.org/triplify/node1137769039>
1	<http://linkedgeodata.org/triplify/node1140433801>
1	<http://linkedgeodata.org/triplify/node1157456477>
1	<http://linkedgeodata.org/triplify/node1161388172>
1	<http://linkedgeodata.org/triplify/node1180835809>
1	<http://linkedgeodata.org/triplify/node1187203256>
1	<http://linkedgeodata.org/triplify/node1198172225>
1	<http://linkedgeodata.org/triplify/node1203343976>
1	<http://linkedgeodata.org/triplify/node1204570045>
1	<http://linkedgeodata.org/triplify/node1207889555>
1	<http://linkedgeodata.org/triplify/node1213000297>
1	<http://linkedgeodata.org/triplify/node1214190091>
1	<http://linkedgeodata.org/triplify/node1219059368>
1	<http://linkedgeodata.org/triplify/node1221206054>
1	<http://linkedgeodata.org/triplify/node1222227222>
1	<http://linkedgeodata.org/triplify/node1223090082>
1	<http://linkedgeodata.org/triplify/node1223090477>
1	<http://linkedgeodata.org/triplify/node1225289985>
1	<http://linkedgeodata.org/triplify/node1232797506>
1	<http://linkedgeodata.org/triplify/node1233541324>
1	<http://linkedgeodata.org/triplify/node1247178063>
1	<http://linkedgeodata.org/triplify/node1249271524>
1	<http://linkedgeodata.org/triplify/node1249700374>
