?n_s	?subject
1	<http://linkedgeodata.org/triplify/node1061411831>
1	<http://linkedgeodata.org/triplify/node1172589892>
1	<http://linkedgeodata.org/triplify/node1213789605>
1	<http://linkedgeodata.org/triplify/node1224315810>
1	<http://linkedgeodata.org/triplify/node1323677824>
1	<http://linkedgeodata.org/triplify/node1363859992>
1	<http://linkedgeodata.org/triplify/node1367950739>
1	<http://linkedgeodata.org/triplify/node1392440386>
1	<http://linkedgeodata.org/triplify/node1514581807>
1	<http://linkedgeodata.org/triplify/node1675845323>
1	<http://linkedgeodata.org/triplify/node1711704727>
1	<http://linkedgeodata.org/triplify/node1732056495>
1	<http://linkedgeodata.org/triplify/node1760716302>
1	<http://linkedgeodata.org/triplify/node1773939767>
1	<http://linkedgeodata.org/triplify/node18377655>
1	<http://linkedgeodata.org/triplify/node1871300655>
1	<http://linkedgeodata.org/triplify/node1946774267>
1	<http://linkedgeodata.org/triplify/node2161071635>
1	<http://linkedgeodata.org/triplify/node250171946>
1	<http://linkedgeodata.org/triplify/node2546348529>
1	<http://linkedgeodata.org/triplify/node2550464465>
1	<http://linkedgeodata.org/triplify/node260130515>
1	<http://linkedgeodata.org/triplify/node262534108>
1	<http://linkedgeodata.org/triplify/node2652582993>
1	<http://linkedgeodata.org/triplify/node268596206>
1	<http://linkedgeodata.org/triplify/node269753669>
1	<http://linkedgeodata.org/triplify/node270539512>
1	<http://linkedgeodata.org/triplify/node272300770>
1	<http://linkedgeodata.org/triplify/node281822781>
1	<http://linkedgeodata.org/triplify/node2830148121>
1	<http://linkedgeodata.org/triplify/node289523439>
1	<http://linkedgeodata.org/triplify/node290076702>
1	<http://linkedgeodata.org/triplify/node2902034494>
1	<http://linkedgeodata.org/triplify/node295098750>
1	<http://linkedgeodata.org/triplify/node295860830>
1	<http://linkedgeodata.org/triplify/node297298192>
1	<http://linkedgeodata.org/triplify/node297886750>
1	<http://linkedgeodata.org/triplify/node300055262>
1	<http://linkedgeodata.org/triplify/node303943582>
1	<http://linkedgeodata.org/triplify/node307620654>
1	<http://linkedgeodata.org/triplify/node308316633>
1	<http://linkedgeodata.org/triplify/node31087925>
1	<http://linkedgeodata.org/triplify/node313064824>
1	<http://linkedgeodata.org/triplify/node316928471>
1	<http://linkedgeodata.org/triplify/node31813150>
1	<http://linkedgeodata.org/triplify/node341295054>
1	<http://linkedgeodata.org/triplify/node415887735>
1	<http://linkedgeodata.org/triplify/node418774779>
1	<http://linkedgeodata.org/triplify/node429513340>
1	<http://linkedgeodata.org/triplify/node444409090>
1	<http://linkedgeodata.org/triplify/node448169869>
1	<http://linkedgeodata.org/triplify/node449876341>
1	<http://linkedgeodata.org/triplify/node454166023>
1	<http://linkedgeodata.org/triplify/node458192532>
1	<http://linkedgeodata.org/triplify/node463210272>
1	<http://linkedgeodata.org/triplify/node472626422>
1	<http://linkedgeodata.org/triplify/node495358262>
1	<http://linkedgeodata.org/triplify/node526691835>
1	<http://linkedgeodata.org/triplify/node534749179>
1	<http://linkedgeodata.org/triplify/node56877256>
1	<http://linkedgeodata.org/triplify/node60321634>
1	<http://linkedgeodata.org/triplify/node606131088>
1	<http://linkedgeodata.org/triplify/node611049515>
1	<http://linkedgeodata.org/triplify/node611649160>
1	<http://linkedgeodata.org/triplify/node626580506>
1	<http://linkedgeodata.org/triplify/node673466682>
1	<http://linkedgeodata.org/triplify/node738097482>
1	<http://linkedgeodata.org/triplify/node747331016>
1	<http://linkedgeodata.org/triplify/node759913127>
1	<http://linkedgeodata.org/triplify/node776002326>
1	<http://linkedgeodata.org/triplify/node825035873>
1	<http://linkedgeodata.org/triplify/node846508064>
1	<http://linkedgeodata.org/triplify/node861378897>
1	<http://linkedgeodata.org/triplify/node915022337>
1	<http://linkedgeodata.org/triplify/way10046598>
1	<http://linkedgeodata.org/triplify/way101168198>
1	<http://linkedgeodata.org/triplify/way101613144>
1	<http://linkedgeodata.org/triplify/way101852560>
1	<http://linkedgeodata.org/triplify/way103635688>
1	<http://linkedgeodata.org/triplify/way105953320>
1	<http://linkedgeodata.org/triplify/way107290225>
1	<http://linkedgeodata.org/triplify/way107373508>
1	<http://linkedgeodata.org/triplify/way108222344>
1	<http://linkedgeodata.org/triplify/way108837492>
1	<http://linkedgeodata.org/triplify/way108978144>
1	<http://linkedgeodata.org/triplify/way109714663>
1	<http://linkedgeodata.org/triplify/way112378683>
1	<http://linkedgeodata.org/triplify/way112677512>
1	<http://linkedgeodata.org/triplify/way113545584>
1	<http://linkedgeodata.org/triplify/way115489539>
1	<http://linkedgeodata.org/triplify/way115800976>
1	<http://linkedgeodata.org/triplify/way116883938>
1	<http://linkedgeodata.org/triplify/way117093835>
1	<http://linkedgeodata.org/triplify/way117402822>
1	<http://linkedgeodata.org/triplify/way119569195>
1	<http://linkedgeodata.org/triplify/way120123231>
1	<http://linkedgeodata.org/triplify/way120124167>
1	<http://linkedgeodata.org/triplify/way120593964>
1	<http://linkedgeodata.org/triplify/way120803674>
1	<http://linkedgeodata.org/triplify/way121005424>
1	<http://linkedgeodata.org/triplify/way121102423>
1	<http://linkedgeodata.org/triplify/way122605116>
1	<http://linkedgeodata.org/triplify/way122977501>
1	<http://linkedgeodata.org/triplify/way123531647>
1	<http://linkedgeodata.org/triplify/way124800762>
1	<http://linkedgeodata.org/triplify/way126261288>
1	<http://linkedgeodata.org/triplify/way128800258>
1	<http://linkedgeodata.org/triplify/way128834280>
1	<http://linkedgeodata.org/triplify/way129772326>
1	<http://linkedgeodata.org/triplify/way132248181>
1	<http://linkedgeodata.org/triplify/way133510711>
1	<http://linkedgeodata.org/triplify/way134372176>
1	<http://linkedgeodata.org/triplify/way135267397>
1	<http://linkedgeodata.org/triplify/way13742054>
1	<http://linkedgeodata.org/triplify/way13878957>
1	<http://linkedgeodata.org/triplify/way139364104>
1	<http://linkedgeodata.org/triplify/way13980247>
1	<http://linkedgeodata.org/triplify/way140050705>
1	<http://linkedgeodata.org/triplify/way141922492>
1	<http://linkedgeodata.org/triplify/way143663921>
1	<http://linkedgeodata.org/triplify/way144168614>
1	<http://linkedgeodata.org/triplify/way144280089>
1	<http://linkedgeodata.org/triplify/way144782654>
1	<http://linkedgeodata.org/triplify/way144893793>
1	<http://linkedgeodata.org/triplify/way145918031>
1	<http://linkedgeodata.org/triplify/way146292068>
1	<http://linkedgeodata.org/triplify/way146389708>
1	<http://linkedgeodata.org/triplify/way147069244>
1	<http://linkedgeodata.org/triplify/way149250511>
1	<http://linkedgeodata.org/triplify/way149276228>
1	<http://linkedgeodata.org/triplify/way150264152>
1	<http://linkedgeodata.org/triplify/way150541527>
1	<http://linkedgeodata.org/triplify/way150610567>
1	<http://linkedgeodata.org/triplify/way153479858>
1	<http://linkedgeodata.org/triplify/way153590816>
1	<http://linkedgeodata.org/triplify/way156415851>
1	<http://linkedgeodata.org/triplify/way159685838>
1	<http://linkedgeodata.org/triplify/way16084490>
1	<http://linkedgeodata.org/triplify/way161214689>
1	<http://linkedgeodata.org/triplify/way16349152>
1	<http://linkedgeodata.org/triplify/way16349209>
1	<http://linkedgeodata.org/triplify/way16349242>
1	<http://linkedgeodata.org/triplify/way163983629>
1	<http://linkedgeodata.org/triplify/way165088579>
1	<http://linkedgeodata.org/triplify/way165974292>
1	<http://linkedgeodata.org/triplify/way168367621>
1	<http://linkedgeodata.org/triplify/way168651911>
1	<http://linkedgeodata.org/triplify/way169952312>
1	<http://linkedgeodata.org/triplify/way170372345>
1	<http://linkedgeodata.org/triplify/way172865902>
1	<http://linkedgeodata.org/triplify/way174512885>
1	<http://linkedgeodata.org/triplify/way175408466>
1	<http://linkedgeodata.org/triplify/way178141070>
1	<http://linkedgeodata.org/triplify/way178227103>
1	<http://linkedgeodata.org/triplify/way178601101>
1	<http://linkedgeodata.org/triplify/way178808090>
1	<http://linkedgeodata.org/triplify/way179175958>
1	<http://linkedgeodata.org/triplify/way179281993>
1	<http://linkedgeodata.org/triplify/way180230624>
1	<http://linkedgeodata.org/triplify/way184612236>
1	<http://linkedgeodata.org/triplify/way186164486>
1	<http://linkedgeodata.org/triplify/way187261629>
1	<http://linkedgeodata.org/triplify/way187498698>
1	<http://linkedgeodata.org/triplify/way18801455>
1	<http://linkedgeodata.org/triplify/way191414781>
1	<http://linkedgeodata.org/triplify/way191985298>
1	<http://linkedgeodata.org/triplify/way192165499>
1	<http://linkedgeodata.org/triplify/way192490432>
1	<http://linkedgeodata.org/triplify/way194716290>
1	<http://linkedgeodata.org/triplify/way195016381>
1	<http://linkedgeodata.org/triplify/way195207377>
1	<http://linkedgeodata.org/triplify/way204187690>
1	<http://linkedgeodata.org/triplify/way204275458>
1	<http://linkedgeodata.org/triplify/way205043401>
1	<http://linkedgeodata.org/triplify/way20649684>
