?n_s	?subject
1	<http://linkedgeodata.org/triplify/node1079862356>
1	<http://linkedgeodata.org/triplify/node1333869131>
1	<http://linkedgeodata.org/triplify/node1462082790>
1	<http://linkedgeodata.org/triplify/node1477971472>
1	<http://linkedgeodata.org/triplify/node1614217655>
1	<http://linkedgeodata.org/triplify/node1623762902>
1	<http://linkedgeodata.org/triplify/node1822576802>
1	<http://linkedgeodata.org/triplify/node1835102913>
1	<http://linkedgeodata.org/triplify/node1841084857>
1	<http://linkedgeodata.org/triplify/node1944909024>
1	<http://linkedgeodata.org/triplify/node2370669527>
1	<http://linkedgeodata.org/triplify/node244918708>
1	<http://linkedgeodata.org/triplify/node297141243>
1	<http://linkedgeodata.org/triplify/node3010414827>
1	<http://linkedgeodata.org/triplify/node309880598>
1	<http://linkedgeodata.org/triplify/node3178209066>
1	<http://linkedgeodata.org/triplify/node3300719135>
1	<http://linkedgeodata.org/triplify/node357928060>
1	<http://linkedgeodata.org/triplify/node357929875>
1	<http://linkedgeodata.org/triplify/node357931373>
1	<http://linkedgeodata.org/triplify/node357935019>
1	<http://linkedgeodata.org/triplify/node357942590>
1	<http://linkedgeodata.org/triplify/node357943505>
1	<http://linkedgeodata.org/triplify/node357972238>
1	<http://linkedgeodata.org/triplify/node357972361>
1	<http://linkedgeodata.org/triplify/node357994762>
1	<http://linkedgeodata.org/triplify/node357994785>
1	<http://linkedgeodata.org/triplify/node357994786>
1	<http://linkedgeodata.org/triplify/node357994787>
1	<http://linkedgeodata.org/triplify/node3612895494>
1	<http://linkedgeodata.org/triplify/node3635921650>
1	<http://linkedgeodata.org/triplify/node3640440622>
1	<http://linkedgeodata.org/triplify/node3738878012>
1	<http://linkedgeodata.org/triplify/node3742388111>
1	<http://linkedgeodata.org/triplify/node3773114668>
1	<http://linkedgeodata.org/triplify/node487666843>
1	<http://linkedgeodata.org/triplify/node588361280>
1	<http://linkedgeodata.org/triplify/node601812108>
1	<http://linkedgeodata.org/triplify/way100147229>
1	<http://linkedgeodata.org/triplify/way100199428>
1	<http://linkedgeodata.org/triplify/way100293753>
1	<http://linkedgeodata.org/triplify/way10033834>
1	<http://linkedgeodata.org/triplify/way100639974>
1	<http://linkedgeodata.org/triplify/way100706418>
1	<http://linkedgeodata.org/triplify/way101381203>
1	<http://linkedgeodata.org/triplify/way101698475>
1	<http://linkedgeodata.org/triplify/way101698483>
1	<http://linkedgeodata.org/triplify/way101698486>
1	<http://linkedgeodata.org/triplify/way101698497>
1	<http://linkedgeodata.org/triplify/way101809294>
1	<http://linkedgeodata.org/triplify/way102245181>
1	<http://linkedgeodata.org/triplify/way102247710>
1	<http://linkedgeodata.org/triplify/way102270245>
1	<http://linkedgeodata.org/triplify/way102275424>
1	<http://linkedgeodata.org/triplify/way102296474>
1	<http://linkedgeodata.org/triplify/way102441857>
1	<http://linkedgeodata.org/triplify/way102594405>
1	<http://linkedgeodata.org/triplify/way102663451>
1	<http://linkedgeodata.org/triplify/way102754143>
1	<http://linkedgeodata.org/triplify/way102806562>
1	<http://linkedgeodata.org/triplify/way102818327>
1	<http://linkedgeodata.org/triplify/way102944078>
1	<http://linkedgeodata.org/triplify/way102999123>
1	<http://linkedgeodata.org/triplify/way103003206>
1	<http://linkedgeodata.org/triplify/way103003279>
1	<http://linkedgeodata.org/triplify/way103003285>
1	<http://linkedgeodata.org/triplify/way103173976>
1	<http://linkedgeodata.org/triplify/way103375933>
1	<http://linkedgeodata.org/triplify/way103375946>
1	<http://linkedgeodata.org/triplify/way103629576>
1	<http://linkedgeodata.org/triplify/way103687049>
1	<http://linkedgeodata.org/triplify/way103758223>
1	<http://linkedgeodata.org/triplify/way10403540>
1	<http://linkedgeodata.org/triplify/way104122740>
1	<http://linkedgeodata.org/triplify/way104164151>
1	<http://linkedgeodata.org/triplify/way104170586>
1	<http://linkedgeodata.org/triplify/way104355799>
1	<http://linkedgeodata.org/triplify/way104813454>
1	<http://linkedgeodata.org/triplify/way104820392>
1	<http://linkedgeodata.org/triplify/way104953493>
1	<http://linkedgeodata.org/triplify/way105003003>
1	<http://linkedgeodata.org/triplify/way105156672>
1	<http://linkedgeodata.org/triplify/way105350682>
1	<http://linkedgeodata.org/triplify/way10552593>
1	<http://linkedgeodata.org/triplify/way105538630>
1	<http://linkedgeodata.org/triplify/way105571377>
1	<http://linkedgeodata.org/triplify/way105616844>
1	<http://linkedgeodata.org/triplify/way105787576>
1	<http://linkedgeodata.org/triplify/way105787585>
1	<http://linkedgeodata.org/triplify/way105787586>
1	<http://linkedgeodata.org/triplify/way105787587>
1	<http://linkedgeodata.org/triplify/way105852755>
1	<http://linkedgeodata.org/triplify/way105866214>
1	<http://linkedgeodata.org/triplify/way105866243>
1	<http://linkedgeodata.org/triplify/way105866355>
1	<http://linkedgeodata.org/triplify/way105895192>
1	<http://linkedgeodata.org/triplify/way105895197>
1	<http://linkedgeodata.org/triplify/way105895227>
1	<http://linkedgeodata.org/triplify/way105895259>
1	<http://linkedgeodata.org/triplify/way105895279>
1	<http://linkedgeodata.org/triplify/way105895307>
1	<http://linkedgeodata.org/triplify/way105895324>
1	<http://linkedgeodata.org/triplify/way105895423>
1	<http://linkedgeodata.org/triplify/way106116579>
1	<http://linkedgeodata.org/triplify/way106131513>
1	<http://linkedgeodata.org/triplify/way106234078>
1	<http://linkedgeodata.org/triplify/way106274150>
1	<http://linkedgeodata.org/triplify/way106291201>
1	<http://linkedgeodata.org/triplify/way106363390>
1	<http://linkedgeodata.org/triplify/way106541343>
1	<http://linkedgeodata.org/triplify/way106626723>
1	<http://linkedgeodata.org/triplify/way106657851>
1	<http://linkedgeodata.org/triplify/way106885015>
1	<http://linkedgeodata.org/triplify/way106894089>
1	<http://linkedgeodata.org/triplify/way106935677>
1	<http://linkedgeodata.org/triplify/way106935680>
1	<http://linkedgeodata.org/triplify/way107095533>
1	<http://linkedgeodata.org/triplify/way107240277>
1	<http://linkedgeodata.org/triplify/way107249773>
1	<http://linkedgeodata.org/triplify/way107249800>
1	<http://linkedgeodata.org/triplify/way107249805>
1	<http://linkedgeodata.org/triplify/way107255252>
1	<http://linkedgeodata.org/triplify/way107255277>
1	<http://linkedgeodata.org/triplify/way107283837>
1	<http://linkedgeodata.org/triplify/way107283845>
1	<http://linkedgeodata.org/triplify/way10737915>
1	<http://linkedgeodata.org/triplify/way107473161>
1	<http://linkedgeodata.org/triplify/way107473243>
1	<http://linkedgeodata.org/triplify/way107544980>
1	<http://linkedgeodata.org/triplify/way107545016>
1	<http://linkedgeodata.org/triplify/way107545025>
1	<http://linkedgeodata.org/triplify/way107545035>
1	<http://linkedgeodata.org/triplify/way107717791>
1	<http://linkedgeodata.org/triplify/way107733210>
1	<http://linkedgeodata.org/triplify/way107960415>
1	<http://linkedgeodata.org/triplify/way107966546>
1	<http://linkedgeodata.org/triplify/way108012358>
1	<http://linkedgeodata.org/triplify/way108050767>
1	<http://linkedgeodata.org/triplify/way108050780>
1	<http://linkedgeodata.org/triplify/way108232241>
1	<http://linkedgeodata.org/triplify/way108252053>
1	<http://linkedgeodata.org/triplify/way108356008>
1	<http://linkedgeodata.org/triplify/way108358645>
1	<http://linkedgeodata.org/triplify/way108372029>
1	<http://linkedgeodata.org/triplify/way108626242>
1	<http://linkedgeodata.org/triplify/way108703529>
1	<http://linkedgeodata.org/triplify/way108703549>
1	<http://linkedgeodata.org/triplify/way108703563>
1	<http://linkedgeodata.org/triplify/way108703575>
1	<http://linkedgeodata.org/triplify/way108770710>
1	<http://linkedgeodata.org/triplify/way108811244>
1	<http://linkedgeodata.org/triplify/way108998644>
1	<http://linkedgeodata.org/triplify/way109180854>
1	<http://linkedgeodata.org/triplify/way109359470>
1	<http://linkedgeodata.org/triplify/way109371717>
1	<http://linkedgeodata.org/triplify/way109455502>
1	<http://linkedgeodata.org/triplify/way109698848>
1	<http://linkedgeodata.org/triplify/way109846446>
1	<http://linkedgeodata.org/triplify/way110016051>
1	<http://linkedgeodata.org/triplify/way110016057>
1	<http://linkedgeodata.org/triplify/way110153025>
1	<http://linkedgeodata.org/triplify/way110255189>
1	<http://linkedgeodata.org/triplify/way110323402>
1	<http://linkedgeodata.org/triplify/way110392382>
1	<http://linkedgeodata.org/triplify/way110509793>
1	<http://linkedgeodata.org/triplify/way110525609>
1	<http://linkedgeodata.org/triplify/way110550652>
1	<http://linkedgeodata.org/triplify/way110558486>
1	<http://linkedgeodata.org/triplify/way110659146>
1	<http://linkedgeodata.org/triplify/way110677502>
1	<http://linkedgeodata.org/triplify/way111355267>
1	<http://linkedgeodata.org/triplify/way111407092>
1	<http://linkedgeodata.org/triplify/way111528895>
1	<http://linkedgeodata.org/triplify/way112072108>
1	<http://linkedgeodata.org/triplify/way112114387>
1	<http://linkedgeodata.org/triplify/way112116639>
1	<http://linkedgeodata.org/triplify/way112116647>
1	<http://linkedgeodata.org/triplify/way112116653>
1	<http://linkedgeodata.org/triplify/way112286538>
1	<http://linkedgeodata.org/triplify/way112366162>
1	<http://linkedgeodata.org/triplify/way112412577>
1	<http://linkedgeodata.org/triplify/way112506262>
1	<http://linkedgeodata.org/triplify/way112578185>
1	<http://linkedgeodata.org/triplify/way112724482>
1	<http://linkedgeodata.org/triplify/way112796577>
1	<http://linkedgeodata.org/triplify/way113140656>
1	<http://linkedgeodata.org/triplify/way113579336>
1	<http://linkedgeodata.org/triplify/way113610811>
1	<http://linkedgeodata.org/triplify/way113799288>
1	<http://linkedgeodata.org/triplify/way113849501>
1	<http://linkedgeodata.org/triplify/way113866931>
1	<http://linkedgeodata.org/triplify/way11390664>
1	<http://linkedgeodata.org/triplify/way114124294>
1	<http://linkedgeodata.org/triplify/way114125993>
1	<http://linkedgeodata.org/triplify/way114127219>
1	<http://linkedgeodata.org/triplify/way11418689>
1	<http://linkedgeodata.org/triplify/way114519792>
1	<http://linkedgeodata.org/triplify/way114522445>
1	<http://linkedgeodata.org/triplify/way114661592>
1	<http://linkedgeodata.org/triplify/way115013581>
1	<http://linkedgeodata.org/triplify/way115222771>
1	<http://linkedgeodata.org/triplify/way115223822>
1	<http://linkedgeodata.org/triplify/way115277744>
1	<http://linkedgeodata.org/triplify/way115361869>
1	<http://linkedgeodata.org/triplify/way116079789>
1	<http://linkedgeodata.org/triplify/way116080016>
1	<http://linkedgeodata.org/triplify/way116282018>
1	<http://linkedgeodata.org/triplify/way116382687>
1	<http://linkedgeodata.org/triplify/way116456960>
1	<http://linkedgeodata.org/triplify/way116496619>
1	<http://linkedgeodata.org/triplify/way116713255>
1	<http://linkedgeodata.org/triplify/way117195356>
1	<http://linkedgeodata.org/triplify/way117264959>
1	<http://linkedgeodata.org/triplify/way117426012>
1	<http://linkedgeodata.org/triplify/way117515031>
1	<http://linkedgeodata.org/triplify/way117686280>
1	<http://linkedgeodata.org/triplify/way117741811>
1	<http://linkedgeodata.org/triplify/way117755272>
1	<http://linkedgeodata.org/triplify/way117755284>
1	<http://linkedgeodata.org/triplify/way117965136>
1	<http://linkedgeodata.org/triplify/way118097882>
1	<http://linkedgeodata.org/triplify/way118366932>
1	<http://linkedgeodata.org/triplify/way118430334>
1	<http://linkedgeodata.org/triplify/way118431159>
1	<http://linkedgeodata.org/triplify/way118642836>
1	<http://linkedgeodata.org/triplify/way118695454>
1	<http://linkedgeodata.org/triplify/way118778643>
1	<http://linkedgeodata.org/triplify/way118822153>
1	<http://linkedgeodata.org/triplify/way118951864>
1	<http://linkedgeodata.org/triplify/way119043394>
1	<http://linkedgeodata.org/triplify/way119144815>
1	<http://linkedgeodata.org/triplify/way119215286>
1	<http://linkedgeodata.org/triplify/way119244938>
1	<http://linkedgeodata.org/triplify/way119244940>
1	<http://linkedgeodata.org/triplify/way119244945>
1	<http://linkedgeodata.org/triplify/way119246424>
1	<http://linkedgeodata.org/triplify/way119246557>
1	<http://linkedgeodata.org/triplify/way119246625>
1	<http://linkedgeodata.org/triplify/way119271907>
1	<http://linkedgeodata.org/triplify/way119326074>
1	<http://linkedgeodata.org/triplify/way119400648>
1	<http://linkedgeodata.org/triplify/way119489671>
1	<http://linkedgeodata.org/triplify/way119506684>
1	<http://linkedgeodata.org/triplify/way119506699>
1	<http://linkedgeodata.org/triplify/way119566786>
1	<http://linkedgeodata.org/triplify/way119566789>
1	<http://linkedgeodata.org/triplify/way119568772>
1	<http://linkedgeodata.org/triplify/way119583808>
1	<http://linkedgeodata.org/triplify/way119950938>
1	<http://linkedgeodata.org/triplify/way120219431>
1	<http://linkedgeodata.org/triplify/way120519063>
1	<http://linkedgeodata.org/triplify/way120653991>
1	<http://linkedgeodata.org/triplify/way120680535>
1	<http://linkedgeodata.org/triplify/way120684629>
1	<http://linkedgeodata.org/triplify/way120706245>
1	<http://linkedgeodata.org/triplify/way120789285>
1	<http://linkedgeodata.org/triplify/way120921292>
1	<http://linkedgeodata.org/triplify/way120921295>
1	<http://linkedgeodata.org/triplify/way120977354>
1	<http://linkedgeodata.org/triplify/way121176690>
1	<http://linkedgeodata.org/triplify/way121375123>
1	<http://linkedgeodata.org/triplify/way121376328>
1	<http://linkedgeodata.org/triplify/way121378121>
1	<http://linkedgeodata.org/triplify/way121389379>
1	<http://linkedgeodata.org/triplify/way121465685>
1	<http://linkedgeodata.org/triplify/way121743808>
1	<http://linkedgeodata.org/triplify/way121773770>
1	<http://linkedgeodata.org/triplify/way122020451>
1	<http://linkedgeodata.org/triplify/way122022627>
1	<http://linkedgeodata.org/triplify/way122185390>
1	<http://linkedgeodata.org/triplify/way122185482>
1	<http://linkedgeodata.org/triplify/way122303998>
1	<http://linkedgeodata.org/triplify/way122573183>
1	<http://linkedgeodata.org/triplify/way122633487>
1	<http://linkedgeodata.org/triplify/way12292493>
1	<http://linkedgeodata.org/triplify/way122940579>
1	<http://linkedgeodata.org/triplify/way123113778>
1	<http://linkedgeodata.org/triplify/way12330537>
1	<http://linkedgeodata.org/triplify/way123562200>
1	<http://linkedgeodata.org/triplify/way123567081>
1	<http://linkedgeodata.org/triplify/way123914933>
1	<http://linkedgeodata.org/triplify/way124024049>
1	<http://linkedgeodata.org/triplify/way124165676>
1	<http://linkedgeodata.org/triplify/way124311759>
1	<http://linkedgeodata.org/triplify/way124624911>
1	<http://linkedgeodata.org/triplify/way124636582>
1	<http://linkedgeodata.org/triplify/way124636592>
