?n	?predicate
30559	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
7028	<http://geovocab.org/geometry#geometry>
7028	<http://linkedgeodata.org/ontology/changeset>
7028	<http://linkedgeodata.org/ontology/version>
7028	<http://purl.org/dc/terms/contributor>
7028	<http://purl.org/dc/terms/modified>
7026	<http://linkedgeodata.org/ontology/gadmSameAs>
7026	<http://www.w3.org/2003/01/geo/wgs84_pos#lat>
7026	<http://www.w3.org/2003/01/geo/wgs84_pos#long>
993	<http://linkedgeodata.org/ontology/source>
986	<http://linkedgeodata.org/ontology/operator>
965	<http://linkedgeodata.org/ontology/ref>
439	<http://linkedgeodata.org/ontology/odbl>
168	<http://linkedgeodata.org/ontology/source_ref>
158	<http://linkedgeodata.org/ontology/is_in%3Acounty>
156	<http://linkedgeodata.org/ontology/is_in%3Astate_code>
138	<http://www.w3.org/2000/01/rdf-schema#label>
92	<http://xmlns.com/foaf/0.1/phone>
79	<http://linkedgeodata.org/ontology/note>
68	<http://linkedgeodata.org/ontology/vtgis%3Aobjid>
61	<http://linkedgeodata.org/ontology/type>
48	<http://linkedgeodata.org/ontology/designation>
35	<http://linkedgeodata.org/ontology/ele>
16	<http://www.w3.org/1999/02/22-rdf-syntax-ns#comment>
15	<http://linkedgeodata.org/ontology/level>
13	<http://linkedgeodata.org/ontology/indoor>
12	<http://linkedgeodata.org/ontology/fireplace>
12	<http://linkedgeodata.org/ontology/surveillance>
11	<http://linkedgeodata.org/ontology/FIXME>
11	<http://linkedgeodata.org/ontology/fixme>
10	<http://linkedgeodata.org/ontology/layer>
9	<http://linkedgeodata.org/ontology/payment:coins>
9	<http://linkedgeodata.org/ontology/payment:credit_cards>
9	<http://linkedgeodata.org/ontology/payment:telephone_cards>
8	<http://linkedgeodata.org/ontology/wheelchair>
6	<http://linkedgeodata.org/ontology/createdBy>
6	<http://linkedgeodata.org/ontology/info>
5	<http://linkedgeodata.org/ontology/is_in%3Alocality>
5	<http://linkedgeodata.org/ontology/tdd>
4	<http://linkedgeodata.org/ontology/comment>
3	<http://linkedgeodata.org/ontology/lit>
3	<http://linkedgeodata.org/ontology/odbl%3Anote>
2	<http://linkedgeodata.org/ontology/addr%3Astreet>
2	<http://linkedgeodata.org/ontology/covered>
2	<http://linkedgeodata.org/ontology/fee>
2	<http://linkedgeodata.org/ontology/parking%3Acondition%3Aboth%3Amaxstay>
2	<http://linkedgeodata.org/ontology/payment%3Aaccount_cards>
2	<http://linkedgeodata.org/ontology/wpt_symbol>
2	<http://xmlns.com/foaf/0.1/homepage>
1	<http://linkedgeodata.org/ontology/Accessibility>
1	<http://linkedgeodata.org/ontology/High%20Traffic%20Area>
1	<http://linkedgeodata.org/ontology/Near%20Another%20Emergency%20Phon>
1	<http://linkedgeodata.org/ontology/Near%20Building>
1	<http://linkedgeodata.org/ontology/On%20Campus%20Map>
1	<http://linkedgeodata.org/ontology/addr%3Afloor>
1	<http://linkedgeodata.org/ontology/addr%3Ahousenumber>
1	<http://linkedgeodata.org/ontology/affiliation>
1	<http://linkedgeodata.org/ontology/brand>
1	<http://linkedgeodata.org/ontology/building>
1	<http://linkedgeodata.org/ontology/capacity>
1	<http://linkedgeodata.org/ontology/cmt>
1	<http://linkedgeodata.org/ontology/disused>
1	<http://linkedgeodata.org/ontology/dnt%3Aclassification>
1	<http://linkedgeodata.org/ontology/dnt%3Aiid>
1	<http://linkedgeodata.org/ontology/dnt%3Alock>
1	<http://linkedgeodata.org/ontology/extensions>
1	<http://linkedgeodata.org/ontology/information>
1	<http://linkedgeodata.org/ontology/name%3Asr-Latn>
1	<http://linkedgeodata.org/ontology/payment:debit_cards>
1	<http://linkedgeodata.org/ontology/payment:electronic_purses>
1	<http://linkedgeodata.org/ontology/service>
1	<http://linkedgeodata.org/ontology/shelter_type>
1	<http://linkedgeodata.org/ontology/snowmobile>
1	<http://linkedgeodata.org/ontology/source%3Adate>
1	<http://linkedgeodata.org/ontology/sym>
1	<http://linkedgeodata.org/ontology/time>
